[00:00:00] 只是开了一扇窗户
[00:04:40] 所以做下一代的人工智能
[00:04:43] 不光是学校的事情
[00:04:45] 不光是研究的事情
[00:04:46] 也要到产业里去做啊
[00:04:47] 所以当时就这两个方面
[00:04:48] 一个是说我们技术上还需要突破
[00:04:51] 做下一代到底是什么
[00:04:52] 我们要把它想清楚
[00:04:53] 下一个这个事情
[00:04:55] 也需要在产业里面慢慢去孵化它
[00:04:57] 去成熟它
[00:04:58] 所以那个时候就其实给了我们一个
[00:05:01] 一个一个一个契机
[00:05:02] 就是讨论说哎下一代到底是什么
[00:05:04] 然后这一下一代的这个事情到底要怎么去办
[00:05:07] 怎么去做
[00:05:08] 跟企业到底是什么关系
[00:05:10] 产业是什么关系
[00:05:12] 所以那是大概16年左右的事情
[00:05:14] 16年的第一个问题的结论就是说
[00:05:16] 我们产生了一个词叫认知智能
[00:05:19] 认知智能对
[00:05:20] 叫认知智能
[00:05:21] 就是那个时候大概是在那个时候
[00:05:23] 16年左右的时候
[00:05:24] 那时候还不叫通用智能对吧
[00:05:26] 通用人工智能只是一个很大的目标呃
[00:05:29] 很大的一个目标
[00:05:30] 当然我们认为认知智能是我们说的
[00:05:32] 感知智能的下一代啊
[00:05:34] 啊
[00:05:34] 就是它是迈向通用人工智能的一个下一个台阶
[00:05:38] 它并不等同于对它
[00:05:40] 并不等同于通用人工智能
[00:05:41] 因为那个时候
[00:05:42] 其实大家对通用人工智能觉得哎呀很遥远
[00:05:44] 我也定义不清楚
[00:05:46] 就不用强行去定义它
[00:05:47] 但是呃如果是下一步嗯
[00:05:51] next step这个事情我是可以尝试去定义它的
[00:05:54] 清华当时就已经有很多
[00:05:55] 这种跟产业界的合作对吧
[00:05:57] 非常多很多它有这种渊源
[00:05:59] 对清华一直是在人工智能这一块
[00:06:02] 是非常重视产业落地的
[00:06:05] 做了很多的跟呃企业的合作对吧
[00:06:08] 不光是纯粹在实验室里面做这个研究
[00:06:11] 呃
[00:06:12] 做应用做落地
[00:06:13] 当时我们实验室其实还是非常厉害的
[00:06:16] 当时我们在那个年代的时候是少有的
[00:06:18] 可以拿我们的技术去挣美金的
[00:06:21] 怎么挣就跟国外企业合作啊
[00:06:23] 哦他付我们都是美金哦
[00:06:25] 少有的能挣美金的时间
[00:06:27] 就是说明那个时候
[00:06:28] 其实中国的人工智能技术和研究
[00:06:31] 还是比较靠前的
[00:06:33] 比较靠前的
[00:06:33] 所以那个是在那个年代到16年时候
[00:06:36] 我们就基本上心里就有这个准备
[00:06:38] 就要去做一个企业
[00:06:40] 拿我们的一些啊阶段性的研究性的成果
[00:06:43] 来去寻找下一代人工智能
[00:06:45] 就认知智能的这个路径
[00:06:47] 为什么是要你们几个人来开始做呀
[00:06:49] 这个是有渊源的吗
[00:06:51] 这个不是别人要我们怎么做
[00:06:52] 是你们想做
[00:06:53] 这是我们自己想做
[00:06:54] 我当时在实验室里做工作的时候
[00:06:57] 其实负责的就是就叫工程转化这一块
[00:07:00] 教授们带着学生们做研究
[00:07:02] 博士们说什么
[00:07:03] 做研究
[00:07:03] 做完研究的这个东西
[00:07:04] 他可能发paper了
[00:07:06] 做了一个prototype
[00:07:07] 做了一些简单的代码
[00:07:09] 但是我要去deliver给这个我的企业的客户说
[00:07:14] 当企业的客户的要求肯定不只是说一篇paper
[00:07:17] 或者说几个啊prototype的代码
[00:07:20] 我需要去一个system
[00:07:21] 需要去一个product
[00:07:22] 那那时候我就带着一帮人在做这些事情
[00:07:25] 清华一直有这个工程转化的这个职位
[00:07:27] 对我们清华的一个非常有意思的事情
[00:07:30] 一直有我们系
[00:07:32] 也一直有我们实验室有甚啊
[00:07:35] 所以这是我们的传统啊
[00:07:37] 就是就是从我的导师建立这个实验室开始
[00:07:39] 他就非常重视这个事
[00:07:41] 他提了一个概念
[00:07:41] 叫我到现在还记得特别清楚
[00:07:44] 叫p to p
[00:07:45] 不是那个暴雷的那个哈哈网贷p two p啊
[00:07:48] 它叫paper to project或者叫paper to product
[00:07:52] 就是你的paper研究成果
[00:07:54] 一定要转换成实际能用的产品或者系统啊
[00:07:58] 你看现在这个清华基本上工科类的这种院系
[00:08:01] 现在基本上推广这个概念已经非常普遍了
[00:08:04] 这对于原来博士生来说
[00:08:06] 可能你交一篇论文
[00:08:08] 博士论文
[00:08:08] 然后理论上有突破
[00:08:10] OK就可以了
[00:08:11] 但现在基本上都要求要有实际的system
[00:08:14] 要有实际的应用
[00:08:15] 这这其实就是一个推广的过程
[00:08:17] 大家都接受了这个概念
[00:08:18] 所以早期的时候其实我们就有这个基因
[00:08:20] 就有这个想法做这个事情
[00:08:22] 所以我们当时就认为说
[00:08:23] 我们既有研究上的这个前沿
[00:08:25] 又有这个水平
[00:08:27] 那工程上呢我们把研究成果转换成工程呢
[00:08:30] 我们又有这样的基因
[00:08:31] 又有这样的这个能力
[00:08:33] 那其实这个事情就满足了这两个条件
[00:08:35] 我们可以去把它在产业化的这个角度来说
[00:08:38] 把它落地
[00:08:39] 同时反哺
[00:08:41] 用我们的工程实践来反哺我们的研究工作啊
[00:08:44] 所以这个就是我们选择做这个事情的动因
[00:08:47] 并不是谁要求我们去做这种事情
[00:08:49] 当然有一些老师们倒是也还提过这件事
[00:08:54] 就比如说张博老师其实还很清楚的跟我们讲过
[00:08:57] 他说人工智能这件事情
[00:08:59] 它就是一个跟产业紧密不可分的事情
[00:09:02] 你们就应该去产业里面去做这个事
[00:09:05] 不管是研究还是真正的去啊
[00:09:08] 商业化
[00:09:09] 这个都是一个产业的事情
[00:09:11] 是普有几位联合创始人
[00:09:12] 你们当时的分工是什么样的呀
[00:09:14] 就在学校里面啊
[00:09:15] 当时其实在实验室里面没那么复杂
[00:09:18] 都比较简单
[00:09:19] 你比如说像几位教授啊
[00:09:21] 唐老师
[00:09:22] 李老师
[00:09:22] 徐老师
[00:09:23] 他们主要是做科研啊
[00:09:24] 做研究核心的技术的突破
[00:09:26] 带着学生一起做研究
[00:09:27] 写paper
[00:09:28] 然后做一些事情
[00:09:30] 然后我会带着工程师
[00:09:32] 团队们一起去把这些东西承接下来
[00:09:34] 做一些系统
[00:09:35] 做一些啊product
[00:09:37] 然后去交付一些客户的一些需求啊
[00:09:41] 所以当时我们能挣外国人的钱啊
[00:09:43] 像德斌
[00:09:43] 他也是做知识产权出身
[00:09:45] 他博士毕业以后
[00:09:46] 他高高文的院士的学生嘛
[00:09:48] 毕业以后在做知识产权
[00:09:50] 专利相关的事情做了一段时间
[00:09:52] 所以他在这一块比较熟悉成果的转化
[00:09:55] 怎么去做IP
[00:09:56] 怎么去做这个推广技术的推广啊合作
[00:09:59] 然后SIMON呢是后来加入我们实验室之后
[00:10:03] 王绍兰他是因为在一个上市公司的北京这边呃
[00:10:07] 中国区这边当老大
[00:10:09] 就市场他非常熟悉
[00:10:11] 而且他也是工科出身
[00:10:13] 做芯片的企业出身啊
[00:10:14] 所以他也非常熟悉我们这个行业
[00:10:17] 要帮助我们去做一些推广啊
[00:10:18] 做一些联合生态啊这些事情
[00:10:21] 所以其实他这个分工
[00:10:23] 就跟我们现在其实基本上是很类似的
[00:10:25] 所以很自然的我们组合到一起来做这件事情
[00:10:28] 当时要负责工程转化吗
[00:10:30] 你当时想认知智能应该怎么转化
[00:10:32] 其实这里边有一些讨论出来的一些结论
[00:10:35] 就是首先第一个功能转化这件事情呢
[00:10:39] 除了你要把这个原来的protect
[00:10:42] 变成一个啊生态环境里边可用的产品
[00:10:46] 这个相当于是一个software的东西对吧
[00:10:48] 第二个呢你还要去真正的逻辑
[00:10:51] 去结合真正的这个实际啊
[00:10:54] 生产场景里边的各种各样的硬件软件
[00:10:57] 各种条件
[00:10:58] 所以这是一个适配性的问题
[00:11:00] 更复杂的就是你要真正到推到市场上去
[00:11:04] 跟客户去售卖这些东西的话
[00:11:06] 它还有一个呃商业的问题
[00:11:09] 就是你的成本
[00:11:10] 你的收益之间怎么样去平衡的问题
[00:11:12] 嗯对所以这些这些事情就是在那几年里边
[00:11:16] 或者说那十几年里边慢慢的去学会的
[00:11:19] 嗯啊我又不是干这个出身
[00:11:21] 就比如说游戏商务那一套东西
[00:11:23] 商务对对对
[00:11:23] 那套东西你怎么跟大家报价对吧
[00:11:26] 你报什么样的价格是合适的
[00:11:27] 你的成本该怎么核算
[00:11:29] 嗯啊这些事情
[00:11:30] 其实以前你在学校实验室里面
[00:11:32] 肯定是不太考虑这些东西的
[00:11:34] 嗯但是你真正面临商业客户的时候
[00:11:36] 肯定就会人家说
[00:11:37] 那那那你报个价格给我
[00:11:39] 第一次报价紧张吗
[00:11:41] 其实挺紧张的
[00:11:42] 心里没啥底嗯
[00:11:43] 因为那个时候也不像在公司里面
[00:11:45] 有这么完整的财务啊什么之类的
[00:11:47] 你能知道说我每个人花多少钱对吧
[00:11:50] 我每天的办公费用是多少
[00:11:51] 其实也没有什么太大的概念
[00:11:53] 所以很多时候就拍脑袋拍
[00:11:55] 大概估了一个哦对
[00:11:57] 所以早期的时候
[00:11:58] 其实很多的项目大概大家就是收了点辛苦钱
[00:12:02] 对挣了点成本
[00:12:03] 然后大家发了点呃
[00:12:04] 学生们
[00:12:05] 老师们发了点那个奖金也就那样了
[00:12:08] 16年还没有想过要创业吧
[00:12:10] 16年其实在考虑这个问题
[00:12:11] 已经开始考虑了
[00:12:12] 已经在考虑这个问题
[00:12:13] 真正我们开始行动是17年
[00:12:15] 17年我们就尝试在学校这个体制底下啊
[00:12:19] 科研院所这个体制底下怎么去把这个商业化
[00:12:22] 这个转化这个路径走通
[00:12:23] 因为那个时候其实唉学校里边的这些这个叫啊
[00:12:28] 体制内人员去开公司
[00:12:30] 这个事其实是不允许的
[00:12:32] 敏感对对
[00:12:33] 他是不允许的
[00:12:34] 大家都知道之前没有先例吗
[00:12:35] 有在职人员有
[00:12:37] 但是呢大家都是
[00:12:39] 就是不是这种正式的官方的渠道
[00:12:41] 就是你一个老师在外面开一个公司
[00:12:44] 好像也没人举报你什么的
[00:12:46] 你也就过去了哦
[00:12:48] 但是严格来讲
[00:12:49] 这个事情是需要跟学校去报备批准的对吧
[00:12:52] 或者是不是可能公司如果开得好的话
[00:12:55] 就慢慢就离职了
[00:12:56] 从学校严格来讲
[00:12:57] 这两件事情不它不能联系起来
[00:12:59] 它是并行的两条线
[00:13:00] 但学校呢就这个事情发生多了之后呢
[00:13:03] 像这种学校呢
[00:13:04] 它会有些考量
[00:13:06] 它会有一些规管理规定出现
[00:13:08] 就不允许啊
[00:13:08] 或者你报备啊什么的
[00:13:10] 反正就出现这些事情
[00:13:11] 所以在1617年的时候开始做这件事情
[00:13:13] 我们就找想找一个官方的路径
[00:13:15] 就专门做这件事情的路径哦
[00:13:17] 正式的没有想过
[00:13:19] 先先悄悄的做
[00:13:20] 然后悄悄的做
[00:13:22] 被发现了再说
[00:13:23] 这这个总会留下一些首尾嘛
[00:13:25] 我们还是希望说这个事情呢走的比较顺畅
[00:13:28] 不要给自己留下一些首尾一些问题
[00:13:31] 所以1617年的时候
[00:13:32] 其实在找这个路径
[00:13:33] 学校其实也想干这个事
[00:13:35] 他想做一些
[00:13:36] 比如说学校那个时候
[00:13:38] 成立了一些产业转化的一些机构
[00:13:41] 像数据科学研究院
[00:13:44] 还巴拉巴拉的一些机构
[00:13:45] 二级机构其实他就是想做这个事
[00:13:48] 而且请来的这个负责的人
[00:13:50] 都是原来在产业界待过的哦
[00:13:52] 你看这个意图就很明显啊
[00:13:54] 他也学校也觉得我有很好的这种科研成果
[00:13:57] 那为什么不能把它转换成商业价值呢
[00:14:00] 对但这个路径怎么做呢
[00:14:01] 也在探索
[00:14:02] 后来这个契机是到18年的时候
[00:14:09] 联合给了一个意见
[00:14:11] 就给了一个专门针对这种事情的一个意见
[00:14:15] 一个一个办法
[00:14:16] 就允许这个科研院所的这个在职人员
[00:14:21] 用已有的研究成果做科技成果转化
[00:14:26] 然后规定了说怎么分配啊
[00:14:28] 一部分给到这个原来科研院所
[00:14:31] 一部分给到这个创始人团队或者研究团队啊
[00:14:35] 他们自由支配啊
[00:14:37] 这是开了一个窗户
[00:14:38] 但这个分配比例好吗
[00:14:40] 条件好吗
[00:14:41] 当时的分配比例其实没有特别明确的
[00:14:44] 说到底这个比例是是多少
[00:14:45] 我印象当中啊
[00:14:46] 我没看清楚
[00:14:47] 没有白纸黑字的写下来还是要谈的
[00:14:49] 是要聊的
[00:14:50] 好像是定了一个底线还是什么
[00:14:53] 我忘记了
[00:14:53] 这个细节有点记不太清楚了
[00:14:55] 如果学校把自己的比例抬的过高的话
[00:14:58] 对创业公司也不好
[00:14:59] 不是很有利嘛对吧
[00:15:00] 所以那个时候其实当当然这个事情我就跟说了
[00:15:03] 他开了一扇窗户
[00:15:05] 就大家看到了诶
[00:15:06] 外面还可以有这么一条路
[00:15:08] 它并不是开了一个很敞开很大的一个门
[00:15:10] 说你随便走吧
[00:15:11] 他也没有那么方便
[00:15:13] 所以出了这个意见之后
[00:15:15] 他怎么执行这个比例到底定多少
[00:15:17] 谁拿多少
[00:15:18] 谁拿什么分
[00:15:19] 怎么约定
[00:15:20] 怎么评估这个成果
[00:15:21] 其实这些细节都没有
[00:15:23] 所以我们是首先吃螃蟹的人
[00:15:25] 我们就拿这个东西
[00:15:27] 哎你看国家给了这个东西
[00:15:28] 那跟学校谈说学校你你怎么办
[00:15:30] 我要我想办怎么办
[00:15:32] 这个是你负责谈吗
[00:15:33] 这个当时还不是我的
[00:15:35] 他对这块比较熟悉
[00:15:36] 我刚才讲了嘛
[00:15:37] 他做IP啊
[00:15:37] 什么相关这些事情
[00:15:39] 然后就跟学校去沟通这个事
[00:15:41] 学校这边其实也挺麻爪的
[00:15:42] 他说我只有这个文件底下
[00:15:44] 这这个操作细节是什么
[00:15:45] 我也不知道呀
[00:15:46] 啊你们是第一个
[00:15:47] 或者说我们你们是最先开始来聊这个事情的人
[00:15:51] 那我们就一起来聊这个事呗
[00:15:53] 所以学校到我还特别记得
[00:15:55] 当时那个科研院的院长啊
[00:15:58] 金院长
[00:15:59] 还有当时管这个成果转化孵化啊
[00:16:03] 也是我们的一个师姐嗯
[00:16:05] 叫志鹏吧啊反正还有很多人呐
[00:16:07] 包括学校的领导都很支持这个事
[00:16:10] 大家一起组来一起聊这个事情啊
[00:16:12] 怎么办
[00:16:12] 怎么分怎么样合理对吧
[00:16:15] 因为刚开始嗯国家的意图也很明显
[00:16:18] 就鼓励大家去做这个科技生活转化嘛对吧
[00:16:20] 不要躺在这个这个这个保险柜里
[00:16:23] 然后把它转化成产业的这个这个这个价值嗯
[00:16:26] 所以就开始聊
[00:16:28] 其实大家还是啊其实双方都很有意愿
[00:16:31] 无非就是说在这个过程当中
[00:16:32] 怎么把这个东西厘清
[00:16:34] 操作的流程
[00:16:36] 怎么来定这个东西之后
[00:16:38] 大家不要留下一些遗留的问题
[00:16:40] 没考虑到的细节等等等等
[00:16:42] 所以当时我们就开始走这个事情
[00:16:43] 他真正走通就已经到19年
[00:16:45] 我们走了两年
[00:16:47] 一年多一年多啊
[00:16:48] 那个办法是18年的
[00:16:50] 我记得是应该是18年的1月份嗯出来的
[00:16:53] 然后研究这个细节
[00:16:54] 走通整个流程
[00:16:55] 公司注册到6月19年的6月份
[00:16:58] 宁德曼时间我们是第一家
[00:16:59] 我们系里面第一家呃
[00:17:01] 所有整个清华都是第一家呃
[00:17:03] 至少我们计算机系是第一家
[00:17:05] 其他学校我不是很清楚
[00:17:06] 不太了解
[00:17:07] 这一年半主要就是时间耗在哪啊
[00:17:10] 就是谈这个中间这个过程啊
[00:17:12] 比如说大家分多少是三七开
[00:17:14] 二八开还是一九开哦
[00:17:15] 啊然后你评估多少
[00:17:17] 就是你整个这个东西我们有科技成果
[00:17:20] 我们也有拿奖的成果
[00:17:21] 这些成果都做过一些鉴定
[00:17:23] 那到底它值多少钱
[00:17:24] 以前都不拿钱来评判的嘛
[00:17:27] 顶多是说啊是一个什么样的一个水平对吧
[00:17:31] 他没有拿钱
[00:17:32] 因为你一旦产业化
[00:17:33] 这多东西最后都归到钱上了对吧
[00:17:36] 因为做股占股本啊什么之类的
[00:17:38] 你都需要作为用钱作为单位来衡量
[00:17:41] 所以他最后一个这个评估的这个过程
[00:17:43] 怎么来定义这个价值是多少
[00:17:46] 货币上怎么定义这个事情就谈就弄了很久
[00:17:50] 最后让你们满意吗
[00:17:51] 我觉得还挺好的吧
[00:17:52] 嗯嗯我觉得还挺好
[00:17:54] 还算是比较顺利
[00:17:55] 虽然耗续了一年多时间
[00:17:57] 但是我刚才讲了
[00:17:58] 因为你毕竟是第一个吃螃蟹的嘛
[00:18:01] 前面没有人走过这个路
[00:18:02] 去学校也没走过学校
[00:18:04] 也不太清楚这个事情该怎么办
[00:18:06] 所以大家是在互相理解
[00:18:08] 互相的配合
[00:18:10] 找到这个契合点
[00:18:11] 合适的契合点
[00:18:12] 又不要给大家造成一些后续的麻烦什么之类的
[00:18:16] 因为他们可能也体制内嘛
[00:18:18] 他总会也还有一些哼国资啊什么的
[00:18:21] 这些事情的一些要求
[00:18:22] 能把这个事情能这么快的走下来
[00:18:24] 我觉得是非常不容易的
[00:18:25] 肯定是学校
[00:18:26] 我们还有各方大家配合把这个事情做下来的
[00:18:30] 嗯当时有没有参考一些
[00:18:31] 比如说海外斯坦福教授在我们看公司
[00:18:34] 因为海外这个非常多非常多
[00:18:36] 所以当时确实是看了很多
[00:18:38] 然后学校这边肯定是广泛的调研和看过
[00:18:42] 这个事情
[00:18:43] 然后我们也就反正也举过一些例子
[00:18:46] 跟大家解释这些事情
[00:18:48] 谈这些事情
[00:18:49] 但是这个细节我有点不太清楚
[00:18:50] 因为主要是董导德斌他们就跟他们
[00:18:53] 他们就跟学校去谈的嘛
[00:18:55] 我那时候这个事儿我没参与太多
[00:18:57] 但这个历程我知道确实不容易啊
[00:19:00] 搞了挺久的
[00:19:01] 其实我们那个团队运转是17年就开始
[00:19:03] 我们就在相对比较独立的在运转哦
[00:19:06] 但是公司注册成立是已经完全转出来
[00:19:09] 那个时候就19年注册以后
[00:19:11] 就把这个团队从学校的实验室里面
[00:19:13] 得得得得全部都转出来诶这个还挺有意思的
[00:19:15] 因为其实这个政策出的时候是18年
[00:19:18] 然后第一个你们作为第一个吃螃蟹的人是
[00:19:20] 其实你们在很主动在布置这件事情
[00:19:22] 在整个清华里面
[00:19:23] 所以你们才是一帮非常就想创业的人对吧
[00:19:26] 相对于其他人来说
[00:19:27] 所以刚才你说的是谁让你去你去创业
[00:19:30] 其实我们自己想做这个事
[00:19:31] 所以我一直说质朴
[00:19:33] 这个包括我们这个团队还是非常幸运的一帮人
[00:19:36] 很多事情恰好就在那个时间发生
[00:19:39] 你碰到了最好的事情
[00:19:41] 然后对发生了
[00:19:42] 然后你正好又踩在这个点上
[00:19:44] 这是17年到19年
[00:19:46] 其实一条线你们是在跟学校谈
[00:19:47] 在公司这条线上
[00:19:49] 你们当时在做哪些事情啊
[00:19:50] 以及有哪些尝试
[00:19:51] 当时的话
[00:19:52] 因为我们这个团队呃
[00:19:54] 从实验室那个时候就已经有一个不小的团队
[00:20:00] 大概有一二十人吧
[00:20:01] 一团队就专门做这些事
[00:20:03] 当时我们主要做的是一个科技情报的一个平台
[00:20:06] 一个产品
[00:20:07] 这产品在国际上还是非常有
[00:20:10] 包括国内也有很大的一个影响力叫minor
[00:20:14] 那当时我们有专门的一个团队在做这些产品化
[00:20:17] 做这个服务
[00:20:17] 商业化的转化啊
[00:20:19] 那个时候我们就已经在通过这个产品
[00:20:21] 通过这个技术服务很多的客户
[00:20:24] 包括这个一些高科技企业
[00:20:26] 刚才说挣美元嘛
[00:20:28] 呃当时的呃什么谷歌啊
[00:20:30] 克斯美孚啊
[00:20:31] 这些包括IBM啊
[00:20:33] 什么全是我们的客户哦
[00:20:35] 那时候公司是盈利的吗
[00:20:37] 那时候没公司
[00:20:38] 但我们肯定很赚钱
[00:20:39] 肯定很赚钱啊
[00:20:40] 就是按项目制去一个一个的去给他交付
[00:20:44] 对能赚多少钱
[00:20:45] 那时候这个我倒是倒不是太关心这个事情
[00:20:47] 但是我当时有点印象是
[00:20:49] 有一年我们大概就这个整个实验室的
[00:20:52] 就挣的这种横向
[00:20:53] 我们叫横向的科研经费
[00:20:55] 有项目经费啊
[00:20:56] 我们就挣了好像一年有接近2000万
[00:21:00] 所以你们当时已经是学校非常有钱的老师了
[00:21:02] 唉这就因为这个钱进不了个人兜
[00:21:04] 哈哈哈对
[00:21:05] 一方面我是觉得其实挺好的
[00:21:07] 市场有很大的需求
[00:21:08] 这个技术确实也有它的领先性
[00:21:10] 我们就想做这个事情
[00:21:11] 而且也确实让我们看到了一些机会
[00:21:14] 说去像这个就刚才说的
[00:21:17] 下一步的这个认知智能这个方向去迈进
[00:21:20] 对这个更新迭代的速度
[00:21:22] 可能在去产业界之后会更快
[00:21:24] 你们怎么定义这个感知智能
[00:21:26] 到认知智能的这个技术区别
[00:21:29] 其实有一个很经典的问题
[00:21:31] 就是我们跟张博老师聊天的时候
[00:21:33] 张博老师老举的一个事情
[00:21:34] 那个时候啊
[00:21:35] 他说那个时候的上一代的人工智能是解决了
[00:21:38] 是个感知的问题
[00:21:39] 嗯其实他不知道
[00:21:42] 他不知道
[00:21:43] 对你想想这个问题其实挺有意
[00:21:44] 他画了一个象限
[00:21:45] 他在一个象限里面
[00:21:47] 一个二维的象限里面
[00:21:48] 他画了一下叫现在的问题
[00:21:50] 人工智能解决的这个问题
[00:21:52] 就是说就是一些非常小的一个范围的这个问题
[00:21:56] 然后再往外就是认知上
[00:21:58] 就是我知道我不知道啊对吧
[00:22:02] 就人有这个这个这个这个能力嘛
[00:22:05] 然后还有一块呢是我不知道
[00:22:06] 我不知道
[00:22:07] 所以其实我们现在探索的事情
[00:22:09] 就是想让机器具备类类似这样的认知的能力
