[00:00:01] 想象一个鱼缸嘛
[00:04:37] 就是不是啊不好的解释去去去阐述这些东西
[00:04:42] 所以他整个社会是个静态的社会
[00:04:44] 只有非常少数的人
[00:04:45] 是在真正啊做这个所谓的科学研究
[00:04:48] 或者说知识的创造
[00:04:49] 嗯啊所以他其实它会是一个静态的结构
[00:04:54] 但是如果是在启蒙运动之后
[00:04:56] 你发现这个社会它变成动态的
[00:04:57] 就是就是你会有很多新的知识被创造出来
[00:05:01] 然后这个创造的过程中呢
[00:05:02] 他就会比如说你产生了一个知识
[00:05:05] 它就解决了一个问题对吧
[00:05:07] 但解决这个问题的时候
[00:05:08] 你会产生新的问题
[00:05:09] 那你的你的问题是源源不断
[00:05:11] 因为你的知识边界是在拓展
[00:05:13] 那你就会遇到很多新的问题
[00:05:14] 嗯啊研研发这个AI的过程中
[00:05:18] 我觉得可能恰好就是一个这样的过程
[00:05:20] 就是你解决了比如说强化学习的很多问题
[00:05:23] 但你发现就面临着很多新的问题
[00:05:25] 比如说评估的刚我刚讲的评估的这些问题
[00:05:27] 或者衡量的问题和验证的问题对吧
[00:05:30] 这这些问题他可能就啊我们需要一些新的答案
[00:05:34] 对就就是大概是会是这样的一个过程
[00:05:37] 但但这个也是非常有意思的一个点
[00:05:39] 就是因为你一直会有新的问题可以去解决啊
[00:05:42] 然后然后每次解决一个问题
[00:05:43] 你的技术就是会往上
[00:05:45] 在可能再攀登几百米
[00:05:47] 对
[00:05:47] 然后就是可能有一天啊
[00:05:49] 也也许我我知道
[00:05:50] 也有可能这个雪山他有可能没有尽头
[00:05:52] 我不知道
[00:05:53] 这就是我希望他一直没有镜头
[00:05:55] 因为因为这样的话
[00:05:56] 就是就所谓的beginning of infinity
[00:05:59] 就是这个意思
[00:05:59] 就是它可能是一座无限的山
[00:06:01] 这就是你一直在你一直在往上爬
[00:06:04] 然后而且甚至有可能爬到一段时间之后
[00:06:07] 你不一定是自己在爬
[00:06:08] 而有可能是你用呃用AI来爬对吧
[00:06:12] 就就比如说你现在我们也会把
[00:06:14] 就是比如用用k two这个模型去做很多
[00:06:17] 可能模型训练或者说数据处理相关的工作
[00:06:22] 这些东西他以前可能都是要人工写代码
[00:06:24] 或者有些同学他不一定会写代码
[00:06:27] 那以前就做不了
[00:06:28] 但是现在比如说很多数据处理
[00:06:30] 或者说模型的一些分析对吧
[00:06:32] 甚至包括模型的一些训练
[00:06:34] 你慢慢又都可以用这个用用模型来做对
[00:06:38] 所以那你可能就是可以把这个东西
[00:06:42] 作为一个放大器去更好的去攀登这座山对
[00:06:45] 所以啊我觉得会有这种感觉
[00:06:47] 就是反正你的问问题是会持续产生对
[00:06:50] 然后你就持续去去解决
[00:06:51] 然后发现新有新的问题
[00:06:53] 那如果雪山是无尽的
[00:06:54] 你追求的是什么呢
[00:06:55] 追求就是这个攀登的过程
[00:06:58] 或者说你能你能一直越越爬越高
[00:07:01] 嘿嘿就是就是你可能原来是在在山底下对吧
[00:07:05] 然后爬A到那个就是又又又往上提升了一点
[00:07:08] 然后你能看到的呃景色会不一样
[00:07:11] 就是然然后就他是一个动态可能进化的过程
[00:07:16] 然后我们可能想追求的是你就是越爬越高
[00:07:19] 以前我们会固化的认为终点就是AHI
[00:07:22] 今天的终点已经不是AJI了是吗
[00:07:24] 那AJI是什么
[00:07:25] 对AJI可能是个方向
[00:07:26] 就是它可能不是某一级台阶
[00:07:28] 说你爬到了这级台阶
[00:07:29] 就就是突然一夜之间达到AJI对吧
[00:07:33] 而是说可能它它是一个方向
[00:07:36] 比如说我们今天可能在很多领域
[00:07:38] 其实你也可能你可以认为他是AHI
[00:07:40] 就是因为他可能做的比99%的人类
[00:07:44] 可能都更好对吧
[00:07:45] 然后啊对
[00:07:47] 然后包括就是现在比如很多数学题
[00:07:50] 或者说编程竞赛这些题
[00:07:51] 可能我觉得提按照现在提升速度
[00:07:54] 你可以可能预想就是说他会很快有很多问题
[00:07:57] 就可以被解充分的解决对
[00:08:01] 然后呃对
[00:08:03] 但是但是他可能很难说我我我是很良知
[00:08:06] 说哎某一个时间点
[00:08:07] 我突然就是我就我就我就我就可以喊一个口号
[00:08:10] 说我们在这个时间线
[00:08:12] 此时此刻实现AHI
[00:08:13] 他他跟就是虽然我们用登月来命名公司的名字
[00:08:16] 但它跟登月有一个区别
[00:08:17] 就是登月就是你站上月球那一刻
[00:08:19] 你就是对你号称我就砸到了对
[00:08:22] 但但是可能AJI他就是你你不让做
[00:08:25] 然后而且这里面我觉得两个层面
[00:08:27] 一个是说一方面是呃技术是一直在提升对吧
[00:08:31] 但当然呃另一方面就是除了技术之外
[00:08:34] 我觉得这个这个技术对于人类社会的影响额
[00:08:39] 他可他可能是更长周期的事情
[00:08:42] 对那那你也可以认为它其实是AJI的一部分
[00:08:45] 就是就就点像比如你产生了产生了蒸汽机之后
[00:08:48] 你你整个社会的变化
[00:08:50] 它其实是需要花可能几十
[00:08:51] 几百年的时间去消化啊
[00:08:54] 就是你有有一些工作可能不再必要
[00:08:57] 但是你会产生新的工作
[00:08:58] 然后有新的方式
[00:09:00] 可能人会用AI去做更啊
[00:09:04] 就是就每每个人都会成为超人嘛
[00:09:06] 就是你你可以做更多的事情
[00:09:08] 那这个社会他的工作方式和他的呃运行效率
[00:09:11] 可能都会发生很大的变化
[00:09:13] 那我们先来回望一下过去一年啊
[00:09:14] 过去一年
[00:09:15] 全球大模型在你脑海中
[00:09:16] 最重要的几件事情是什么
[00:09:18] 有哪些在人工智能范式级的变化
[00:09:20] 我觉得可能有几个
[00:09:22] 重要的一个是这种强思考的推理模型啊
[00:09:25] 基于强思考的强化学习
[00:09:27] 对o one以o one就是作为第一个呃
[00:09:30] 做出来这样的一个代表
[00:09:32] 然后我觉得是本质上来讲是呃
[00:09:37] 他通过让模型在这个过程中去做很多的尝
[00:09:42] 试和反思呃
[00:09:44] 然后特我觉得可能反思是这里面的重点
[00:09:47] 就是反思其实本质上是两种能力
[00:09:50] 一种能力是提出来一个新的猜想
[00:09:55] 你可以认为就是模型在解决一个问题过程中
[00:09:57] 它会不断提出新的猜想
[00:09:59] 然后这个猜想呢他会得到一个自我的验证
[00:10:02] 比如说他提出这个猜想之后
[00:10:04] 我到底这个猜想是对的还是错的啊
[00:10:07] 他其实是需要具备一定的验证能力
[00:10:10] 虽然你不是显示的训练一个验证模型
[00:10:13] 但是他是在这个推理过程中
[00:10:14] 可能影视的去做了验证
[00:10:17] 然后你可以理解成
[00:10:18] 就是他把这个问题做了很多次
[00:10:20] 每次猜想验证猜想验证
[00:10:23] 然后最后可能啊就可以得到一个答案
[00:10:27] 对
[00:10:27] 那那这个东西就是说他其实会很大程度
[00:10:30] 提升模型的能力
[00:10:31] 是因为你本来只能做一次是吧
[00:10:34] 你你本来只能就是我直接给出一个答案
[00:10:37] 但这个答案可能是对的
[00:10:38] 可能是错的
[00:10:39] 你你并没有这个这个过程啊
[00:10:42] 但是你现在也可以不断的提出猜想去验证
[00:10:44] 那那等于说你其实等价的尝试了好几次对
[00:10:48] 那那你就可以把PASSK可能变成Python one
[00:10:51] 它本质上是一个这样的呃呃的的道理
[00:10:55] 这就其实跟人做科研或者解题的过程也很
[00:10:59] 这就是也是不断提出新的猜想
[00:11:01] 然后去验证它是一个自由探索的过程
[00:11:03] 它不是一个线性的过程
[00:11:04] 时态有效的工作方式
[00:11:05] 实际上还是很多时候是比较线性的
[00:11:08] 你如果不考虑
[00:11:09] 比如说我做并行的采样
[00:11:10] 假设我就是做串行的采样
[00:11:12] 他其实是有线性体
[00:11:14] 现在就是说你每次是提出新的猜想
[00:11:17] 这个猜想可能是基于你之前的猜想
[00:11:19] 你已经否定过的猜想
[00:11:21] 然后你提出来一个新的猜想对
[00:11:23] 但他还会接近更线性的过程
[00:11:25] 当然只是说
[00:11:26] 现在你也可以把这个线性的过程去搭配到啊
[00:11:30] 就是搭配一些可能并行的策略
[00:11:32] 就是你你可比如说你同时采样很多个啊
[00:11:35] 然后那那那他就会结合可能并行和串行
[00:11:39] 两种不同的方式啊
[00:11:41] 但是最近也有一些paper讲
[00:11:43] 就是说你可能串行它的
[00:11:44] 它的上限值会更高
[00:11:45] 这个可能跟我们的实验结论这些相关对
[00:11:49] 所以这个我这个我觉得是一种范式
[00:11:51] 就是但他他还是一个就是缸中之脑
[00:11:55] 就是说他并不需要跟外界交互
[00:11:57] 他刚中之脑对对对
[00:11:59] 他他就是他就是一个你想象一个鱼缸嘛
[00:12:02] 然后你把一个脑子放在里面
[00:12:03] 然后他他他他跟这个外界是没有联系
[00:12:06] 但是这个环境里面的对
[00:12:08] 他是只在自己大脑里面想
[00:12:10] 他就一直想他
[00:12:11] 他不需要跟外界产生任何的交互
[00:12:13] 他就他就能解一道题对额
[00:12:15] 但是有另外一个很重要的方式
[00:12:17] 就是说现在可能基于这种啊多轮的A证的呃
[00:12:22] 强化学习的范式
[00:12:23] 或者说你通过这种强化学习技术训练出来
[00:12:26] 这种跟IJTIC的这个模型
[00:12:28] 那那它的特点就是说啊他会跟外界做很多交互
[00:12:34] 比如就我可能我边思考边去做一些操作
[00:12:37] 然后我我可能做很多轮的这个操作
[00:12:40] 我一会调用一个搜索
[00:12:42] 一会使用一下浏览器
[00:12:44] 一会可能写几行代码
[00:12:45] 然后我通过多轮的方式解决了一个问题
[00:12:48] 那他就不再是刚工智脑
[00:12:50] 他是但是他是跟外界有交互的
[00:12:53] 所以他的就是我
[00:12:54] 我的下一步行为是根据通过这个交互得到的
[00:12:59] 外界给我的这个反馈啊
[00:13:01] 是是啊
[00:13:02] 外外界给我的这个新的状态的更新是有关系的
[00:13:06] 对然后后的过程对对对
[00:13:08] 然后但这两个东西它都指向了同一个东西
[00:13:11] 就是都是就是所谓的test time scaling
[00:13:15] 就是就是你你可以在测试的时候
[00:13:18] 或者说在推理的时候做做更好的规模化
[00:13:21] 意思就是说比如说我们之前如果在做chat
[00:13:25] 或在做对话的时候
[00:13:27] 你更多的是我只是单轮的输出一个一个结果
[00:13:31] 对吧
[00:13:31] 我我可能让你写篇文章
[00:13:32] 你就写一篇文章
[00:13:33] 然后我再问你
[00:13:34] 我我再让你润色一下
[00:13:35] 你又输出了几百个token
[00:13:36] 他他他这个token数量是很少的
[00:13:39] 但是不管是刚说的这个基于强思考的强化学习
[00:13:42] 还是说这种A卷的强化学习
[00:13:43] 它本质上都是一种去规模化
[00:13:46] 这个呃在预测的时候的token的方式
[00:13:50] 对
[00:13:51] 就是你你不管是说我把轮数人数打的更多
[00:13:54] 还是说在每一轮里面
[00:13:55] 我有更多的这个思考的token啊
[00:13:58] 它都是一种去规模化这个token的方式
[00:14:01] 使得说你能去完成更复杂的任务
[00:14:04] 那这个也伴随着就是你的完成时间会更长
[00:14:07] 一个可能就是你可能现在会花几个小时的时间
[00:14:10] 比如说去去做一件很复杂的事情
[00:14:13] 在这个过程中你可能不需要啊
[00:14:15] 不需要人工的参与
[00:14:17] 对就就他他就可以
[00:14:18] 比如把一个代码仓库克隆下来
[00:14:21] 然后把它翻译成另外一种新的语言
[00:14:22] 然后去调试测试
[00:14:24] 然后去把所有的bug都修了
[00:14:26] 然后让他能正常的运行
[00:14:27] 就这样的一个工作
[00:14:28] 可能是可以端到端的去直接完成它
[00:14:31] 这得益于我觉得是这种测试时的这个规模化
[00:14:35] 这222个都是
[00:14:37] 我觉得都是test time scaling的表现方式吧
[00:14:40] 对额
[00:14:42] 然后可能还有一个很很有意思的趋势
[00:14:45] 我觉得就是说可能现在会有更多的模型公司
[00:14:48] 去做这种一方的产品
[00:14:50] 就一方的这种A证产品
[00:14:52] 然后我觉得这个也很有意思
[00:14:53] 因为一开始更多的
[00:14:55] 比如说我们如果看半年前开始的话
[00:14:59] 或者说去年对吧
[00:15:00] 就会有很多产品
[00:15:01] 它是基于这个基础模型
[00:15:03] 然后你在上面可能做一些脚手架啊
[00:15:06] 或者去设计一些工具
[00:15:08] 去去去更好的让模型去使用
[00:15:11] 然后来搭建一个产品
[00:15:13] 享受模型溢出的能力对对
[00:15:15] 然后它本质上在做的一件事情
[00:15:17] 就是说去逆逆向工程
[00:15:20] 我认为就是去逆向工程这个模型的训练过程
[00:15:23] 就是因为模型训练过程他也是通过各种呃
[00:15:26] 比比如说你可以用an athropic
[00:15:28] 带in house的这个环境工具对吧
[00:15:31] 他的脚手架可能训练出来的这样的一个模型
[00:15:34] 但它可能没有直接开放给你
[00:15:36] 那你是想逆向出来
[00:15:38] 你更更接近去你和它的分布
[00:15:40] 到底你用什么工具test效果会好
[00:15:42] 到底用什么样的system from效果会好
[00:15:44] 到底用什么样的context engineering
[00:15:46] 它的效果会好啊
[00:15:48] 是一个这样逆向的过程
[00:15:50] 但是你发现就是说
[00:15:51] 如果一呃模型公司去做一方的产品
[00:15:54] 它的逻辑是完全不一样的
[00:15:56] 就是你不需要你
[00:15:57] 你不再需要这个逆向的过程
[00:15:59] 它是它更多的是一个正向的做法
[00:16:01] 就是我我现在先把这些工具可能设计好
[00:16:03] 我的context engineering的方法都设计好
[00:16:06] 然后我就在这个环境里面去训练这个模型
[00:16:09] 所以你的模型天然在你的环境里面
[00:16:10] 就会表现的更好对
[00:16:13] 然后所以我觉得这个是两种不同的思路
[00:16:15] 但可能就是第二种
[00:16:17] 他的它的上限也许会更高
[00:16:19] 就是你你可以更好的去整合这个工具
[00:16:21] 和整合这个模型
[00:16:22] 然后你的你的模型有可能有些解决不好的地方
[00:16:25] 你可以去调整这个工具的设计
[00:16:27] 你可以把它设计的更好
[00:16:29] 然后同时你又可以端到端的去做训练
[00:16:31] 我我觉得这个可能也是在可能开发方式上
[00:16:35] 一个其实可能比较大的变量对
[00:16:39] 就是我我能观察到这几个
[00:16:40] 可能是我我感觉比较有意思
[00:16:42] 让大家比较好理解
[00:16:43] 其实你刚才说的那个第一种脚手架
[00:16:45] 就像MANUS这种方式
[00:16:46] 然后第二种就是你们这样的就是模型对
[00:16:50] 当然我们现在在一方
[00:16:51] 产品上的投入还不算特别多
[00:16:53] 我们现在可能主要还是说做很多
[00:16:56] 还是以模型作为啊
[00:16:58] 我们的主线对
[00:17:00] 但你可以看到
[00:17:01] 比如像clock code或者像CHEGPTAGATION这样的东西
[00:17:03] 它其实就是其实就是一方的产品
[00:17:07] 然后我觉得应该也会是一个很大的趋势
[00:17:09] 所以可能后面就是看这两种东西
[00:17:11] 他会怎么去配合
[00:17:12] 或者说他们在这个生态里面会是在什么样
[00:17:14] 他们边界分别在哪里
[00:17:16] 说到主线啊
[00:17:17] 你看XGPT它设置了L1到L5
[00:17:19] 其实我一直很好奇这里的逻辑就是L1是插爆
[00:17:22] 第二个是reasoner
[00:17:23] 第三是agent
[00:17:24] 为什么有了呃
[00:17:25] XBOX和reason之后才有了agent
[00:17:27] 然后为什么后面又是创新者和组织者
[00:17:30] 他们的逻辑是什么样子
[00:17:31] 就是在逻辑模型上它的变化是什么
[00:17:33] 就是他他是这个能力一步一步的依赖
[00:17:36] 当然就是现在我觉得实际看起来呃
[00:17:39] 实际看起来就是说你agent诶
[00:17:42] 我
[00:17:42] 我觉得A证的上限
[00:17:43] 是取决于你有很强的reasoning能力
[00:17:46] 但是好像并不是说你你必须
[00:17:50] 比如说我们如果把这个技术发展
[00:17:52] 稍微换个顺序讲
[00:17:54] 假设你先做出来的A证能力
[00:17:56] 然后再去做做现在这个狭义上的reasoning
[00:18:00] 就是说你你做这种long coo t的reasoning
[00:18:02] 我觉得实际上可能也是成立的
[00:18:03] 那也是成立的
[00:18:04] 对对对
[00:18:05] 而且你可以你认为可能cloud的路线他就是BT
[00:18:07] 在这一点上
[00:18:08] 就是我可能在reasoning上做的并不是那么多
[00:18:11] 但是但是他可能在这个A证上会做的非常好
[00:18:14] 因为它对应的是
[00:18:15] 其实是你技术背后是两种不同的
[00:18:19] test time scaling的范式
[00:18:21] 你一种scale的是通过这种多轮的方式
[00:18:23] 因为你需要跟外界交互使用很多次工具
[00:18:26] 所以它它是这种多轮的交互
[00:18:28] 你可以scale这个轮次
[00:18:29] 那另一另外一种是scale
[00:18:31] 就是像我刚刚说的
[00:18:32] 你你可能其实并没有什么交互
[00:18:34] 你只是一直在那思考
[00:18:35] 纯粹的思考对他是两种不同的
[00:18:38] 我觉得是scaling的维度
[00:18:41] 那你现我觉得就是说你可以看到
[00:18:43] 就是可能比如说你看cloud很多模型
[00:18:45] 它它的reasoning the performance并不是非常高对
[00:18:48] 但是他在AJ上的performance是很高的
[00:18:51] 然后我觉得这两个东西它呃
[00:18:53] 他其实也并不一定是依赖的关系
[00:18:55] 但是但是有一点就是说
[00:18:57] 如果你想做最好的agent
[00:18:59] 就就是想让他解决最复杂的任务
[00:19:01] 那那你最终可能是需要你的reasoning能力
[00:19:04] 也很强对
[00:19:05] 所以他是这样的一个关系
[00:19:06] 就我觉得在研发上它不是必然的顺序
[00:19:08] 但是就是如果你想达到一个东西的最好
[00:19:11] 你需要另外把把reasoning
[00:19:13] 你你要达到agent最好
[00:19:14] 你需要把reasoning也做到最好
[00:19:16] 然后当你有了A证之后
[00:19:18] 就是他他就可以去做一些
[00:19:20] 为什么是对应
[00:19:21] 接下来是innovation
[00:19:22] 就我我
[00:19:23] 我觉得这里面最关键的一个点
[00:19:25] 就是
[00:19:25] 你的模型到底什么时候能参与到模型的开发
[00:19:28] 就比如说我们希望K2
[00:19:29] 能够参与到k three的开发里面
[00:19:31] 那如果你没有这个ATLANTIC能力
[00:19:33] 你其实很难做到这个事情
[00:19:35] 但当你有IJTIC能力之后
[00:19:36] 他就可以去
[00:19:38] 不管是说你你提出一些新的想法
[00:19:40] 还是说去做对应的实验
[00:19:43] 然后去分析实验的结果
[00:19:44] 得到一些结论
[00:19:45] 然后去迭代下一版的想法
[00:19:47] 或者去优化一个某一个INFA的什么啊
[00:19:50] 一个一个一个性能
[00:19:52] 那这个东西它是需要很强的IJTIC的能力
[00:19:54] 他才能做对
[00:19:56] 所以我觉得innovation其实最大会产生在呃
[00:20:00] 你至少也会有一个很关键的点
[00:20:01] 就是看你这个模型什么时候能参与到你的
[00:20:05] 你的模型的本身的研发里面去对
[00:20:07] 然后但这个东西它跟organization
[00:20:10] 就是它可能也
[00:20:12] 我觉得也不一定是完全线性的关系
[00:20:14] 有的东西其实也是并行的
[00:20:15] 就比如说现在这个组织这个东西他也在对
[00:20:21] 就是我觉得现在已经看到很多这样的趋势了
[00:20:24] 就是当你有一个agent之后
[00:20:26] 你就可以把它拓展成一个mi agent的系统
[00:20:29] 嗯对啊
[00:20:30] 你你可以从一个agent fork出来很多个不同的agent
[00:20:32] 让他去做不同的事情
[00:20:34] 然后他他很多可以穿行
[00:20:37] 然后呃put的冰淇淋
[00:20:38] 然后再在合并起来
[00:20:40] 然后再分成几个不同的task
[00:20:41] 你可能有的去写
[00:20:43] 去写测试
[00:20:43] 有的去写文档
[00:20:44] 有的去设计
[00:20:45] 就是整体的这个软件的框架
[00:20:48] 它可以有不同的这个分工对
[00:20:50] 然后我觉得现在已经在有有有有这样的趋势
[00:20:54] 所以它不一定是线性关系对
[00:20:55] 就是你有可能两个会一起发生
[00:20:57] 但是它确实是
[00:20:58] 我觉得我觉得reasoning和AJ相当于说对
[00:21:02] 就是可能会是innovation和organization的一个前提吧
[00:21:05] 我理解recently是呃ASIAN的前提是
[00:21:08] 因为它能够让语言通过推理
[00:21:11] 在A证中得以泛化啊
[00:21:13] 对我说
[00:21:14] 如果想去解决一个可能最复杂的A证的问题
[00:21:18] 你肯定如果不会推理是很难
[00:21:20] 但是你假设没有推理的这种范式
[00:21:23] 你你还是可以一定程度上做一些A整的任务
[00:21:26] 就不不需要推理的任务
[00:21:28] 对就是或者你不需要那么强的推理能力
[00:21:30] 你其实就啊你你不需要说我在思考过程中
[00:21:33] 输出来几千个token去推理一下
[00:21:35] 我当当前这个到底我应该怎么做
[00:21:37] 你也可以去通过多轮的交互方式
[00:21:39] 从环境里面得到反馈是吧
[00:21:41] 你写一些测试
[00:21:42] 然后去跑这个测试
[00:21:44] 你也你也能解决一些相对比较复杂的任务
[00:21:46] 所以我觉得这是为什么
[00:21:47] 现在可能呃你就你发现克号的模型在在在很在
[00:21:52] 有一些场景他会做的更好
[00:21:54] 就就是因为我觉得可能其实背后其实是对应的
[00:21:56] 不同的技术的这个BT
[00:21:58] 但但最终你是绕不开
[00:21:59] 就是说最终你要做到呃
[00:22:02] 就是你要往往山顶再爬几步的话
[00:22:05] 你你还是两个都要
[00:22:06] 它只是一个时间问题
[00:22:07] 然后所以对应就是organization和innovation
[00:22:10] 这两个东西也是一样
[00:22:11] 就是你在这里面
[00:22:12] 如果你有不同的技术的BT
[00:22:13] 可能会让你短期的路径呃稍微有些区别
[00:22:17] 然后这这些短期路径的区别可能会有一些影响
[00:22:20] 因为它它毕竟你要面对的是一个动态的市场
[00:22:22] innovation的呃
[00:22:24] 标志是模型的自我迭代
[00:22:26] 那organization
[00:22:27] organization就是可能就就比较简单的思考
[00:22:31] 就是它会是一个MOTIAGENT的一个系统
[00:22:34] 然后我可能会从现在这个A证变成我
[00:22:38] 我觉得现在有很多这样的的雏形对
[00:22:41] 然后大家就说你moti agent的系统
[00:22:43] 怎么很好的端到端的训练
[00:22:45] 然后你可能不要去过拟合道某几种对吧
[00:22:49] A证的类型让他有更好的泛化性
[00:22:52] 我觉得有挑战的
[00:22:53] 黑OPGANIZATION是雪山的峰顶吗
[00:22:55] 我觉得也不是
[00:22:56] 可能他真的就是没有顶着
[00:22:58] 就是这就这几个能力
[00:23:00] 他可能随着时间的发展
[00:23:02] 他都会持续的变得更好
[00:23:04] 就包括推理能力
[00:23:05] 你说推理能力的上限到底是在哪里
[00:23:07] 我我觉得今天也不好说
[00:23:09] 虽然他你看看起来是L2对吧
[00:23:11] 但是但是也真的说做到很强很强的推理
[00:23:14] 我觉得今天也还是有很大的空间
[00:23:16] 所以你怎么看L1到L5的这个分级
[00:23:18] 你把它当做一个什么样的刻度
[00:23:20] 我我觉得他是就是几个可能重要的技术MSTONE
[00:23:23] 但是就是首先它并不一定完全是串行的关系
[00:23:26] 像我们刚刚说的
[00:23:27] 我们会预期说有一个东西它就马上被解决掉
[00:23:30] 然后你去解决下面的问题
[00:23:32] 他可能是会你你同时都会在提升
[00:23:35] 我觉得这样比如说reasoning
[00:23:36] 就是你要去你你真的要解决一些开放的问题啊
[00:23:41] 或者说啊就是你你要做很好的创新对吧
[00:23:47] 你要提出来新的模型架构
[00:23:48] 那你的推理能力可能又又又需要有更高的要求
[00:23:51] 所以我我是觉得可能这几个能力大持续的提升
[00:23:54] 我们来复盘一下
[00:23:54] 二三到24年
[00:23:55] 你们的关键决策是你当时2月份决定了创业
[00:23:58] 然后开始融资组建团队
[00:24:00] 然后到了下半年KIMI上线了
[00:24:02] 然后BP长文本
[00:24:03] 那24到25年这一年呢
[00:24:05] 你的关键的几个重要的决策是什么
[00:24:07] 好问题
[00:24:08] 我我我觉得很重要的
[00:24:09] 可能技术上就是说你从以预训练和和
