[00:00:00] 物理世界的CEO不敢赌
[00:03:44] 实际上这个事情
[00:03:44] 有好多人在过去的一年都在提啊
[00:03:48] 我认为数字化的中小型公司
[00:03:50] 提这个事情会非常多
[00:03:52] 我觉得应该特别重要
[00:03:54] 我觉得数字化的中大型公司要适度关注
[00:03:57] 不应该太过全面
[00:03:59] 因为有些公司的数字化的支持的业务
[00:04:03] 可能不一定是数字化的
[00:04:04] 可能有非数字化的嗯
[00:04:06] 那一个非常有趣的
[00:04:07] 就是在非数字化的公司对token需要多少
[00:04:11] 对你看我们的车啊
[00:04:14] 我们之前做了一个有趣的小统计吧
[00:04:17] 我们新一代的VA1天只用三四个小时的话
[00:04:21] 会用多少token
[00:04:23] 我现在准确数字已经不太记得了
[00:04:25] 当然他只是内循环的
[00:04:27] 你可以认为
[00:04:28] 那么换一个角度
[00:04:30] 实际上也就是说
[00:04:31] 在数字AI能用AI使用的token数量
[00:04:36] 远远低于在物理世界AI自己需要用的token书
[00:04:41] 但是实际上这个是没有意义的
[00:04:43] 因为它不是用人用AI来去满足他的需求
[00:04:46] 自动驾驶的汽车
[00:04:47] 你可以认为是一台自动的mach
[00:04:49] 他去用token来去用多少
[00:04:53] 所以我在这两个领域里面
[00:04:55] 认为是两个不同的角度
[00:04:58] 所以在物理世界
[00:04:59] 我认为的token的使用将来会是machine
[00:05:03] 自己使用多少token
[00:05:04] 产生多少对machine和人的价值
[00:05:08] 而能用多少token产生对人和企业的价值
[00:05:12] 是另外一个维度
[00:05:13] 所以他的指标应该是不一样的
[00:05:15] 他的背景性指标你觉得多少是一个合理的数量
[00:05:19] 我不知道
[00:05:20] 我在内部尽量不给大家控制token
[00:05:24] 很多人问说不控制token
[00:05:26] 一个季度就把一年的费用全cos down了
[00:05:28] 我觉得如果他真的能做到
[00:05:30] 然后我最重要的是管理最异常的
[00:05:34] top ten的四种情况
[00:05:36] 其他的我都觉得可以开放
[00:05:38] 因为你不确认一个月一个人花1000块人民币
[00:05:42] 还是1万块人民币是最有价值的
[00:05:44] 而我们每个人的每个月的工资
[00:05:49] 很有可能远远超过这个数
[00:05:50] 如果他真的有能力花了更多钱产生更大的价值
[00:05:54] 为什么你要限制他
[00:05:55] 现在公司的token分配主要在哪里
[00:05:57] 我觉得主要还是GIC啊
[00:05:59] 上次我们的自动驾驶跟座舱团队的合并啊
[00:06:02] 他们团队又大
[00:06:03] 我觉得token是对一个企业内部员工的术语
[00:06:07] 我们从某种角度
[00:06:09] 你可以说用了多少张H100
[00:06:11] 一张H100
[00:06:12] 我不知道一天能够用多少token呢
[00:06:14] 这个我我还没有把这个换算比例
[00:06:16] 那我们算的是
[00:06:18] 比如说我给你3万张H100或者5万张
[00:06:21] 你使用什么业务能够高效率和高效能的使用
[00:06:26] 在这个里面
[00:06:27] 我们来看这个算例的使用的情况
[00:06:30] 我我上不太适用token的使用情况
[00:06:32] 你刚才提到异常值有什么样的异常值
[00:06:35] 我举个例子吧
[00:06:36] 我觉得我们最近专门对于data a做了一个
[00:06:39] 整个的控制啊
[00:06:41] 很多人都说数据的价值
[00:06:43] 我觉得极少有公司现在看到数据的巨大的成本
[00:06:48] 因为在数字AI领域里面的数据量很小
[00:06:52] 几十个tb就可以来训练
[00:06:54] 在我们训一次数据几十个tb到几百个tb
[00:07:00] 所以对数据的怎么的管理
[00:07:02] 使用存储是一个巨大的钱啊
[00:07:06] 可能我们一年在数据上投入
[00:07:08] 都从直接的刚性成本都接近十个亿以上
[00:07:12] 十以上是所以哪些数据是有价值的
[00:07:16] 哪些数据是临时有价值的
[00:07:19] 哪些数据是需要非常快速的使用来源
[00:07:23] 数据是可以有一些warm up再去在使用的
[00:07:26] 每一个使用的钱的数量都是千万级的啊
[00:07:29] 那你可以来进行分析
[00:07:31] 然后来进行优化
[00:07:33] 商有巨大的可提高效率
[00:07:36] 可降低成本和提高效能的逻辑论啊
[00:07:39] 实际上算力也是一样
[00:07:40] 我们对数据对算力都是不同的
[00:07:42] team去专门去管这个事情
[00:07:44] 但是我们不太care
[00:07:46] 我看到有很多公司说是公司的工程师
[00:07:50] 使用token的数量
[00:07:51] 我觉得那个数量跟machine使用的token数量
[00:07:55] 和物理世界AI模型训练的时候需要的token数量
[00:08:00] 那都是非常小的数字
[00:08:01] 最近skill非常的呃出圈
[00:08:04] 如果把你训练成一个何小鹏skill
[00:08:07] 你觉得呃应该给他提供哪些训练的数据啊
[00:08:11] 那个skill会是什么样的
[00:08:12] 我觉得数字的模型跟物理的模型
[00:08:15] 今天还是让基础的白领和基础的蓝领
[00:08:22] 比较容易是SK式化
[00:08:23] 如果把我都能够现在有清晰的逻辑论去
[00:08:26] 是SK式化意味着什么
[00:08:28] 意味着不光是基础的蓝白领
[00:08:31] 就是更高端的蓝白领
[00:08:32] 这都会有巨大的风险嗯
[00:08:35] CEO可以被替代
[00:08:36] 也许过数10年或者过100年嗯
[00:08:39] 类似我的能力是的确可以被scales
[00:08:41] 但是那个时候可能我们每个CEEO也都会有
[00:08:44] 更强的更综合的能力
[00:08:46] 他可能丢掉了ABC
[00:08:48] 但是获得了新的DEF
[00:08:49] 因为你这个问题实际上是我们不光是想过
[00:08:52] 我们是深度思考过
[00:08:54] 因为我们在做很多的机器人的事情
[00:08:56] 因为实换个角度
[00:08:57] 我觉得在这个里面
[00:08:59] 实际上是它有两个非常重要的矛盾体啊
[00:09:02] 我觉得是对于大部分的人会觉得
[00:09:05] 我如何把我或者把他的能力是skills化
[00:09:08] 但是对于一个模型角度来看
[00:09:11] 我怎么知道你skills化的这个能力
[00:09:13] 是一个对的能力
[00:09:14] 并且不断的OL
[00:09:16] 例如在物理的仿真模型里面可以去做强化
[00:09:19] 实际上在这个里面
[00:09:20] 它跟coding或者跟自动驾驶都是不一样的
[00:09:24] coding跟自动驾驶相对来说是比较清晰的
[00:09:27] 嗯我知道什么是错的对啊
[00:09:30] 但是比如说把何小鹏skills的话
[00:09:33] 你很难判断这个skills的话怎么是对的
[00:09:36] 或者是错的
[00:09:37] 是非常困难的
[00:09:38] 所以在这样的一个体系里面
[00:09:40] 就是我们在构建体系
[00:09:42] 而不是在使用别人构建好的体系
[00:09:44] 从我的角度来看
[00:09:46] 这是完全两个不同的角度
[00:09:48] 是一场戏
[00:09:48] 直接来讲何小鹏skill的一个缺点会是什么缺陷
[00:09:52] 我觉得每个人skill化之后
[00:09:55] 都会发现这个人实际上是有非常多的缺点的
[00:09:59] 你的呢当然都有啊
[00:10:03] 作为一个CEO
[00:10:04] 你觉得你今天的AI的含量够吗
[00:10:06] 我不知道啊
[00:10:07] 这个我觉得在数字世界的很多公司里面
[00:10:11] 我觉得他可能可以把AI的含量放到小
[00:10:15] 百分之几十
[00:10:16] 我觉得在物理世界不应该
[00:10:18] 小鹏是一家数万人的企业
[00:10:20] 我觉得AA上面要花15%到20
[00:10:23] 而且我讲的AI是一个泛AI
[00:10:26] 包括了我们的自动驾驶
[00:10:30] 包括我们的机器人
[00:10:32] 我们觉得在这块都算是AI的整个范畴
[00:10:35] 我觉得是它足够了
[00:10:36] 因为我今天很想跟你讨论一个话题
[00:10:38] 就是呃人工智能企业如果在一边
[00:10:40] 制造业企业在另一边
[00:10:42] 就是你的天平应该是怎样的摇摆呢
[00:10:45] 你在里面会有纠结和拉扯吗
[00:10:48] 你到底选择做一个AI企业还是做一个制造业
[00:10:51] 汽车企业
[00:10:51] 我还不是这样理解的
[00:10:53] 抱歉啊
[00:10:54] 呃我把汽车认为有几种研发
[00:10:58] 我觉得第一个是硬件的研发
[00:11:01] 第二个是软件的研发
[00:11:02] 而AI只是其中的之一
[00:11:04] 软件之一
[00:11:05] 我觉得还有一个就是叫制造研发
[00:11:07] 刚刚小军
[00:11:08] 你所说的硬件的研发跟制造是两种不同的能力
[00:11:14] 比如说你有能力的设计出一个
[00:11:17] 很漂亮的桌子跟椅子
[00:11:18] 但是你可能无法制造出来
[00:11:21] 这是两种不同的能力
[00:11:24] 实际上是所以我觉得一个汽车的企业里面
[00:11:27] 实际上在这四种能力的研发是一个基础
[00:11:31] 甚至将来可能要到第五种啊
[00:11:33] 这是我的看法
[00:11:34] 你们去年还在说你你们是一个AI汽车企业
[00:11:37] 今年小鹏汽车刚刚完成了改名
[00:11:39] 叫做小鹏集团
[00:11:40] 你们说你们是一个物理AI企业
[00:11:42] 这个名字的转化背后的原因是什么
[00:11:45] 从一个AI汽车企业到一个物理AI企业
[00:11:48] 它的变化是什么呢
[00:11:49] 我觉得这个变化刚刚开始啊
[00:11:52] 嗯还有很多都不能清晰的描述
[00:11:54] 但是我可以来说一下
[00:11:56] 比如说在过去的小鹏汽车
[00:11:58] 在前面的10年的创业的生涯中间
[00:12:00] 实际上他都在做核心三个词
[00:12:03] 六个字
[00:12:04] 也就是智能电动汽车
[00:12:06] 嗯啊所以在过去的10年的创业里面
[00:12:09] 我们做出第一款车
[00:12:10] 然后把它量产
[00:12:12] 卖出第一个10万台
[00:12:14] 然后做出第二款车等等
[00:12:16] 它会进入这样的一个循环啊
[00:12:19] 但实际上在12年前
[00:12:22] 也就是小鹏汽车创业的时候
[00:12:23] 2014年嗯
[00:12:25] 基本上没有人相信智能化
[00:12:26] 但是也有少数人相信电动化
[00:12:29] 更多人相信汽车是个大生意
[00:12:32] 实际上是那么在2025年
[00:12:36] 也就是去年的时候呢
[00:12:37] 所有人都相信了电动化是未来
[00:12:39] 因为大家看到的中国
[00:12:41] 看到的全球在新能源上的一个变化
[00:12:44] 那么在过去的数年里面
[00:12:47] 实际上智能化虽然发展的非常的快
[00:12:50] 在汽车领域
[00:12:51] 但实际上我认为也发展的非常的不尽人意啊
[00:12:56] 因为从更早年就有很多公司
[00:13:01] 从丰田到google到中国的百度
[00:13:03] 这个海外的做汽车的特斯拉跟中国的小鹏等
[00:13:07] 我们都在自动辅助驾驶做了很多的事情啊
[00:13:11] 某种角度我觉得是他做到了效果
[00:13:14] 但是没有足够的高度啊
[00:13:17] 也就是说那个时候我认为还是AI的算法
[00:13:22] 加上软件的规则
[00:13:24] 嗯的能力的组合
[00:13:25] 我把它戏称为叫缝合怪对
[00:13:28] 实际上不是用整个AI驱动来设计集成
[00:13:31] 也不是用整个AI的模型的能力
[00:13:33] 去来构建这个体系的
[00:13:34] 就是还是以软件为主的逻辑
[00:13:37] 小鹏呢
[00:13:37] 在去年我们觉得也碰到了一个非常大的变化
[00:13:41] 就是说我们当时同时在做两代的
[00:13:45] 新的自动辅助驾驶
[00:13:46] 我们所以在内部叫VAA的第一代
[00:13:49] VA的第二代3VA的第一代
[00:13:51] 实际上是在过去的端到端的领域里面把它放大
[00:13:55] 把模型放大
[00:13:56] 把软件的规则降低
[00:13:59] 把使用的场景跟范围变强啊
[00:14:03] 增强了后导能力
[00:14:04] 例如强化
[00:14:05] 例如后训练
[00:14:07] 这是一种方向
[00:14:08] 但实际上另外一种方向
[00:14:09] 就是说我如何抛弃掉原来那一个端了端的逻辑
[00:14:14] 实际上是用一个更大的foundation model啊
[00:14:17] 在更多的思考如何去把自动驾驶的上限先打开
[00:14:24] 再去收敛下限
[00:14:26] 嗯实际上收敛下限就是说少错误
[00:14:30] 按照你的约定
[00:14:31] 按照你的期待去能够行动
[00:14:33] 能去运动
[00:14:34] 但是实际上它的泛化能力
[00:14:36] 是有很多地方是做的很差的
[00:14:38] 比如说举例
[00:14:39] 在今天就没有一家自动驾驶公司的软件
[00:14:45] 能够在地下停车场能够很流畅的开
[00:14:48] 所有的停车场开的都是叫记忆辅助驾驶
[00:14:51] 实际上他是开了一次之后
[00:14:53] 他知道你的停车位在哪里
[00:14:56] 你的大概的行车路线是什么样的
[00:14:59] 实际上他对于整个的物理世界的了解
[00:15:01] 都是非常之低的
[00:15:02] 就核心还是不够智能
[00:15:04] 他的上限太低了啊
[00:15:06] 你可以认为要打开到1万分的可能性才能做好
[00:15:10] 但是他们可能都在1000分左右啊
[00:15:12] 就是我只是一个假设
[00:15:14] 所以换个角度
[00:15:16] 在去年差不多就是这个时候吧
[00:15:19] 我们的另外一代VAA
[00:15:21] 我觉得是让我打开了一个新的变化
[00:15:23] 我认为它的上限可能可以10万分到100万分
[00:15:27] 但是那个时候的下限也很惨烈啊
[00:15:30] 本来你期望做一个产品
[00:15:31] 上限1000分
[00:15:32] 下限900分
[00:15:33] 这个时候你的能力是不错的
[00:15:35] 但是那个时候下限可能只有100分
[00:15:37] 所以它比其他的
[00:15:39] 我们自己的产品的下限上要更低啊
[00:15:42] 然后他的工程的问题有非常多的问题
[00:15:45] 但是我们最后下了一个非常巨大的赌注
[00:15:48] 我们就说以前是用软件的工程
[00:15:52] 用软件的流程加上AI的算法和AI的工具
[00:15:58] 包括刚才您所说的coding嗯
[00:16:01] 你可以认为他是在一个业务流还是软件的
[00:16:06] 在部分重要的工具环节和流程环节是用AI的
[00:16:15] 但是我们认为他是错误的
[00:16:17] 这还是缝合是吗
[00:16:19] 他做出来的软件还是软件嗯
[00:16:25] 因为你是用软件的方法论
[00:16:27] 使用AI的工具箱做出来是一个更强力的软件
[00:16:33] 我认为它叫做AI缝合怪
[00:16:36] 嗯啊所以我们在去年做了巨大的转型跟赌博
[00:16:44] 我们把以前的那一套体系就停下来了
[00:16:49] 上大的体系花了小几十个亿啊
[00:16:52] 去年的什么时间
[00:16:53] 大概就是现在原因是什么呀
[00:16:55] 我认为他无法做到无人驾驶
[00:16:58] 我认为他也不可能让机器人真正的泛化
[00:17:01] 比如说我们今天到了一个陌生的场馆之前
[00:17:04] 可以走过来说小俊你好
[00:17:06] 然后坐下来
[00:17:07] 然后你说哎我就不给你递一杯水了
[00:17:10] 然后他说对我不需要
[00:17:12] 我觉得他可能是一个强规则加少数算法
[00:17:17] 使用AI的一个能力
[00:17:20] 那一刻
[00:17:20] 我们判断就是说自己实际上智能电动汽车
[00:17:24] 我们所做的期待是一个非常聪明的汽车
[00:17:28] 但是我们用的方法是永远不会无限聪明
[00:17:34] 为什么去年才意识到呢
[00:17:35] 小鹏已经创业了11年了对吧
[00:17:38] 你们做智能化也非常的早
[00:17:40] 我觉得绝大部分不是站在物理AI的角度
[00:17:44] 去看一个事情啊
[00:17:46] 我觉得我对于数字AI能够改变很多东西
[00:17:50] 我觉得和物理AI和改变很多东西是完全两种
[00:17:54] 不同的方法论跟不同的路径
[00:17:56] 但是绝大部分人还是以科研的角度去看数字AI
[00:18:00] 数字AI实际上某种角度是用人类的language
[00:18:04] 物理AI不是用人类的language
[00:18:06] 数字AI是人类的语言
[00:18:09] 是被高度概括和浓缩的没错
[00:18:12] 所以语言及世界
[00:18:14] 但是在物理世界
[00:18:16] 我们每个人每一天看到的数据量
[00:18:19] 根本无法用语言概括描述还原跟父子差太大了
[00:18:25] 换一个角度
[00:18:27] 我们以前在汽车领域里面的一个CEO
[00:18:31] 很容易用数字世界的AI
[00:18:34] 了解了之后觉得嗯我好像懂他逻辑了
[00:18:37] 去把它映射扩展和使用
[00:18:43] 但那个时候没有任何一个CEO会说我全部都要用
[00:18:46] 因为我不知道它到底真的有多少的有效啊
[00:18:50] 因为你你要知道在数字AI的市场里面
[00:18:53] 很多模型就是跑酷分比比分
[00:18:56] 我觉得在物理而言
[00:18:57] 那是可笑的
[00:18:58] 因为它不光要比上限
[00:19:01] 比如说跑个分
[00:19:02] 他还要比下限嗯
[00:19:04] 他要保住下限啊
[00:19:05] 他还要拼广度
[00:19:06] 比如说你的品质
[00:19:07] 你的成本
[00:19:08] 你的材质
[00:19:10] 你的细节
[00:19:11] 你的政策法规的允许度
[00:19:13] 这全是叫做短板
[00:19:15] 长板跟窄版
[00:19:17] 窄版要做宽
[00:19:19] 短板要做长
[00:19:20] 长版要做得更长
[00:19:21] 所以在数字世界里面
[00:19:23] 核心看的是长板
[00:19:25] 不太看另外两块板
[00:19:27] 所以物理世界的CEO要不然不敢赌
[00:19:30] 要不然觉得我还有好多块板
[00:19:32] 我怎么办
[00:19:33] 我觉得我可能胆子比较大啊
[00:19:36] 我在那个时候我也不知道它能不能解短板
[00:19:39] 能不能让我的窄板变宽
[00:19:41] 我们做了一个巨大的赌注
[00:19:43] 我们就觉得嗯我相信物理的AI
[00:19:47] 换一个思路
[00:19:49] 换一种流程
[00:19:50] 底层要换一种组织方式
[00:19:53] 有可能能够做到不一样的点
[00:19:56] 所以我们走的道路
[00:19:58] 跟今天看到的很多大模型的公司
[00:20:00] 或者一些在模型上去做应用的公司
[00:20:03] 走的都是完全不同的道路
[00:20:06] 所以这也是为什么
[00:20:07] 我觉得token都是应用型的公司
[00:20:09] 他们所care的我们上早早都不是这个维度
[00:20:13] 因为在以前我做智能电动汽车的时候
[00:20:15] 我总觉得有一个很痛苦的点
[00:20:17] 就是无论怎么看
[00:20:19] 硬件占一个客户所需要的比例
[00:20:22] 都远大过50%
[00:20:24] 对我认为在如果在下一个10年
[00:20:28] 很有可能
[00:20:29] 硬件和软件可能可以过占到50%
[00:20:34] 所以要用AI的方式重新驱动你的组织
[00:20:40] 设计你的软硬件的合体
[00:20:44] 然后并且获得更大的AI的价值
[00:20:49] 只有这样
[00:20:50] 可能在新的10年里面
[00:20:51] 软件的综合的表现力价值就是用用户愿意
[00:20:55] 他为他付费的价值才会在那
[00:20:58] 例如一个车或者一个机器人的50%
[00:21:02] 我觉得这是一个非常大的改变
[00:21:04] 所以这也是为什么小鹏开始来思考
[00:21:08] 如何把physical physical含汽车
[00:21:11] 也不仅仅只限于汽车和AI能够巨大的融合
[00:21:17] 我们的AIS一上
[00:21:18] 对数字AI我觉得基本上都是使用啊
[00:21:23] 比如说cloud code非常好
[00:21:25] 我我会用cloud code
[00:21:27] 如果deep seek for能够在某些方面也非常好
[00:21:31] 且成本也非常棒
[00:21:33] 那我就会把那一部分切换过去啊
[00:21:35] 我们上做了一个hub啊
[00:21:37] 可以很容易的切换
[00:21:38] 但是在physical AI
[00:21:39] physical AI的model是不一样的
[00:21:42] FTN的data是不一样的
[00:21:44] FTERAA的英法是不一样的
[00:21:47] 那么它最后出现的效果
[00:21:49] 如果能够把刚才讲的三块板都能够拼好
[00:21:53] 有可能做出不一样啊
[00:21:55] 这就是我们大概的一个能说的框架吧
[00:21:58] 再多说就不说了
[00:22:00] 去年4月到底发生了什么呀
[00:22:02] 为什么这去年4月下了一个这么大的赌注
[00:22:04] 受了什么刺激吗
[00:22:05] 是哦没有
[00:22:07] 实际上就是体验不同的能力了啊
[00:22:09] 去年3月份我当时就在思考
[00:22:12] 为什么所有的公司都会觉得
[00:22:14] 用更简单的方法论和更快的效能
[00:22:18] 就能做出一个好像凑合而可用的自动驾驶
[00:22:23] 它是对的
[00:22:24] 但是当他做了一年到两年之后
[00:22:26] 他就会发现为了解决很多短板
[00:22:30] 他限制了他自己的长板
[00:22:32] 所以他发现他永远做不到level four或者level five
[00:22:36] 这是当时是在去年年初的一个想法
[00:22:39] 就是就可能这条路是一条捷径
[00:22:42] 但是不是一条大道
[00:22:43] 是一条小路
[00:22:44] 那我们要找到一条大道
[00:22:46] 真正能做到
[00:22:47] maybe刚才所说的50比50的硬件加软件的value
[00:22:51] 我讲这个value不是技术人员思考的
[00:22:54] 是客户愿意为此买单的
[00:22:56] 用户愿意说我买一个30万的车
[00:22:59] 其中15万算你的硬件
[00:23:00] 15万算你的软件的综合能力
[00:23:03] 有没有这样的车
[00:23:04] 现在没有
[00:23:04] 但是我觉得一定在这个10年会变化
[00:23:07] 所以像物理的变化和像AI的变化
[00:23:11] 重新的思考
[00:23:12] 我觉得是一个非常重要的点
[00:23:15] 所以这一次我们小鹏在新的10年里面
[00:23:18] 大家会看到
[00:23:19] 我觉得智能电动汽车可能我们继续会提
[00:23:22] 继续是我们的内核
[00:23:23] 但是我们已经不是用电动或者汽
[00:23:26] 车的方式去考虑智能
[00:23:27] 而是换了一种逻辑
[00:23:29] 并且我们所有所思考的企业的从规划
[00:23:33] 应该叫做所有从战略的规划到研发的过程
[00:23:37] 都会逐步的来进行调整
[00:23:39] 去年34月份有哪个标志性的会议吗
[00:23:41] 在公司内部
[00:23:42] 你下了这个非常大的赌注
[00:23:44] 去年上半年应该属于小鹏的
[00:23:46] 销量回暖的时候是吗
[00:23:48] 然后开始更多的思考下一个10年的方向
[00:23:52] 我觉得没有一个会议基本上在脑袋里面拍
[00:23:54] 全力以赴
[00:23:55] 我觉得大概在去年的三季度末哦
[00:23:58] 实际上三季度末我们做了一个非常大的动作
[00:24:02] 是我们把整个的自动驾驶中心
[00:24:04] 核心的组织架构全改了
[00:24:06] 每一个时间窗口期都有非常多优秀的同学
[00:24:11] 但是每个人都有原来的惯性啊
[00:24:15] 你会习惯用过去的方法
[00:24:17] 想用最新的工具跟技术去做出更好的东西
[00:24:22] 我觉得大部分时候就是对的
[00:24:24] 但有很多时候你的工作方法论都要改
[00:24:28] 所以我觉得调整方法论调整man set
[00:24:32] 这听起来是你在脑子里做的一个决策
[00:24:35] 在公司内部可能没有一个非常标志性的会议
[00:24:38] 或者一个节点
[00:24:40] 但在你脑子里形成这个决策之后
[00:24:42] 你紧接着做了什么呢
[00:24:44] 就是你所谓的这个AI驱动的组织
[00:24:46] 用AI来做设计
[00:24:48] 软硬件的一体化
[00:24:49] 紧接着要做什么呢
[00:24:50] 对于这么大的一个组织来说
[00:24:52] 能不能把你的步骤跟我们分享一下
[00:24:55] 对这些都不能说抱歉
[00:24:56] 哼哼这就是我们正在做的
[00:24:59] 当然也是分阶段做的事情
[00:25:01] 但是我只能告诉大家
[00:25:03] 在不同的业务要有不同的节奏
[00:25:06] 相同的业务也核心是能跟组干部跟组织的问题
[00:25:10] 实际上它是一个非常困难的事情
[00:25:11] 为什么一定要AI驱动呢
[00:25:14] 就之前的惯性会导致什么呢
[00:25:16] 实际上你只是在软件的逻辑里面
[00:25:19] 去做一个更复杂的缝合怪
[00:25:21] 就像你修一个房子
[00:25:23] 你会有更多的材料
[00:25:24] 更多的工艺用AI的
[00:25:26] 但是他还是修一个老的房子的方法论
[00:25:30] 他修出来的还是一个原来的房子
[00:25:32] 知识可能修的更快一点
[00:25:34] 我们想要的是不一样的东西
[00:25:36] 有很多不一样的东西
[00:25:37] 是最基础的时候是大家要看到
[00:25:40] 所以他才相信
[00:25:42] 但是作为企业的CEO
[00:25:43] 我觉得是有时候你要相信过程中间部分的节点
[00:25:48] 让大家看到
[00:25:49] 因为可以提高信心
[00:25:50] 可以提高领导力
[00:25:52] 有很多时候是因为你相信去做布局
[00:25:54] 但作为一家小型的公司
[00:25:56] 跟一家大型的公司是不一样的
[00:25:58] 小鹏汽车虽然是一家创业公司
[00:26:00] 但是从规模角度
[00:26:01] 就能源规模角度已经不算小了数万人
[00:26:04] 所以如何把这样的人分节奏去做
[00:26:07] 我觉得是有非常不一样的
[00:26:09] 这样的一个行为
[00:26:10] 我很难在物理AI上对于规划组织来做分享
[00:26:14] 所以刚才这也是为什么你问我问题
[00:26:17] 我都说我没法答的问题
[00:26:18] 第一我们在尝试在testing
[00:26:20] 第二任何的规划跟目标都是不会对外分享的
[00:26:24] 为什么有很多事情不需要讨论
[00:26:26] 因为很难有一个人准确的可以跟你讨论
[00:26:30] 你只能去听了很多人的想法意见
[00:26:33] 他们可能大部分是错的
[00:26:35] 因为他们都不是从全局角度去给你的建议
[00:26:38] 都是从某个角度
[00:26:40] 但全局是自己把握的
[00:26:42] 各个角度是不同的
[00:26:43] 朋友和自己的思考逻辑论
[00:26:45] 你要把它汇聚起来
[00:26:46] 最后你还一下赌注
[00:26:47] 就像创业一样
[00:26:48] 我听说你在过去3年变得更敢赌了是吗
[00:26:51] 那也不是
[00:26:53] 我觉得只是有很多时候呢
[00:26:57] 知道如果当你要下注的时候
[00:27:00] 早点下会更好
