[00:00:00] 理想是谁啊
[00:15:24] 说白了其实它就是业务对吧
[00:15:27] 他其实就是业务
[00:15:28] 那业务就是没有用户
[00:15:29] 就不是业务
[00:15:30] 但是呢你可以看
[00:15:32] 其实从他的整个思维链里边来看
[00:15:34] 他又遵循了一个人类业务的极简的最佳实践对
[00:15:38] 然后第一步是什么呢
[00:15:39] 第一步其实先做索引分析
[00:15:41] 这个用户给你个需求
[00:15:42] 先做索引分析
[00:15:43] 然后第二步是什么呢
[00:15:44] 第二步其实是来确定目标嗯
[00:15:47] 因为用户很多时候给的是一个提示
[00:15:49] 给的是一个方向
[00:15:50] 并不会给出职业目标
[00:15:51] 所以他通过分析完以后再来
[00:15:53] 其实制定接下来要推理的一个目标
[00:15:56] 然后第三个其实它会有出策略
[00:15:58] 当然作为一个推理的一个reasoning模型
[00:16:00] 其实他的整个策略本身
[00:16:02] 也就是他的推演的执行了
[00:16:04] 然后我觉得第四部他还有个特别好的一点
[00:16:05] 就是他会做一定的反思
[00:16:08] 这个反馈
[00:16:09] 就是看一看我最后的这个结果
[00:16:11] 和目标之间的差异对吧
[00:16:13] 那我觉得这方面其实他跟人做的非常像
[00:16:15] 就人你要做一个业务的时候
[00:16:17] 面向客户
[00:16:18] 面向用户的业务的时候
[00:16:18] 你一定要先做
[00:16:20] 然后用户市场的分析
[00:16:21] 第二个你要针对用户来确定目标
[00:16:24] 然后第三个其实你要有策略
[00:16:26] 然后并且及时执行
[00:16:27] 第四步你要有复盘
[00:16:28] 我觉得它特别好的做了一个最佳实践
[00:16:31] 而且呢本身你可以想象一个模式
[00:16:34] 其实就是在做raising的过程
[00:16:35] 在做整个业务推理的过程中
[00:16:37] 其实他是调多个专家一起来做的
[00:16:40] 如果用到组织中也是非常好的
[00:16:42] 一定是大家群策群力的
[00:16:44] 然后去做分析
[00:16:45] 群策群力的
[00:16:45] 去制定目标
[00:16:46] 群策群力的
[00:16:47] 其实需制定策略
[00:16:48] 编辑起来复盘对
[00:16:50] 其实很多时候我们包括复盘
[00:16:52] 如果有问题
[00:16:52] 我们就去进行改正
[00:16:53] 如果是业绩的差距
[00:16:55] 我就继续增加分析
[00:16:57] 调整策略就可以了
[00:16:58] 如果是能力的差距
[00:16:59] 我就去那边
[00:17:00] 其实改善能力去又继续走研究那条路径对吧
[00:17:03] 因为很多时候你如果你能力不够
[00:17:05] 然后硬推着去做业务
[00:17:06] 其实也做不到
[00:17:07] 所以我觉得特别好
[00:17:08] 就是打个问号
[00:17:10] 因为他这个不是个完整的知行合一哈
[00:17:12] 因为他是指把行的策略给出来了
[00:17:14] 但是他并没有真正去做action
[00:17:16] 比如控制一台机器
[00:17:17] 或者控制一台电脑去操作软件
[00:17:19] 但并没有这么去做
[00:17:20] 但是呢他某种程呢是个非常好的执行
[00:17:22] 知行合一的这样的一个脑系统
[00:17:25] 我觉得这是特别好的一点
[00:17:27] 因为它其实就是人类最佳实践
[00:17:29] 只不过人类我们经常做着做着
[00:17:30] 就忘记最佳实践了
[00:17:31] 对
[00:17:32] 然后我们想拉动一群人一起去推进一个业务
[00:17:34] 但就你一个人在做分析
[00:17:36] 你一个人在制定目标
[00:17:38] 然后就逼着大家去执行
[00:17:40] 然后当你发现目标不对的时候
[00:17:42] 然后你要改东西的时候
[00:17:43] 你又没去做复盘
[00:17:44] 然后也不做分析
[00:17:45] 也不重新设定目标
[00:17:46] 就直接去改策略
[00:17:48] 那所有的参与者说这到底发生了什么
[00:17:50] 对我觉得这个其实就是很多时候
[00:17:53] 人类反而没有追寻自己的最佳实践对
[00:17:56] 然后包括人类去构建能力的时候
[00:17:58] 他到底是应该改善能力
[00:17:59] 解决问题
[00:18:00] 还是其实改善整个策略解决问题
[00:18:02] 其实人类今天很多时候就是大家很忙很辛苦
[00:18:06] 但并分不清到底要解决哪些问题
[00:18:08] 我觉得这个其实deep seek做的特别棒
[00:18:11] 刚才我们聊了那个人类最佳实践的步骤啊
[00:18:14] 你觉得你们最容易miss掉的是哪个
[00:18:15] 最容易忘记的
[00:18:17] 遗忘的是哪个对
[00:18:18] 那我觉得在做能力的时候
[00:18:20] 大家比较容易的上来就搞研发
[00:18:22] 既不去做研究
[00:18:23] 研发完以后也不做能力的展示
[00:18:26] 然后也不去真正的去面对市场的这个实战
[00:18:30] 就认为自己研发完了就拥有了一切啊
[00:18:32] 那我觉得在业务的时候
[00:18:33] 然后最大的麻烦在于
[00:18:34] 其实大家遇到问题只想改策略
[00:18:37] 然后不去做复盘
[00:18:39] 不去做用户和市场的分析
[00:18:41] 然后也不一起来确定目标
[00:18:42] 其实这些在做的时候
[00:18:44] 每个人都想自己来决定就行了
[00:18:46] 我自己来决定研发
[00:18:47] 我自己来决定策略
[00:18:49] 其实就可以了
[00:18:50] 对我觉得这个是最大问题
[00:18:51] 那因为严格的按照最佳实践其实是反人性的对
[00:18:56] 随心所欲
[00:18:56] 然后才是然后满足人性的对
[00:19:00] 所以呢我觉得一个好的组织嗯对
[00:19:03] 然后一个卓越的组织
[00:19:04] 然后一个卓越的人
[00:19:06] 很多时候其实要跟人性做对抗
[00:19:09] 那你应该怎么把这个方法论贯彻下去呢
[00:19:12] 我觉得我们从创业初期的时候
[00:19:14] 就比较擅长去使用和学习方法论
[00:19:16] 我们最开始的时候围绕用户的需求的时候
[00:19:19] 为了让大家统一
[00:19:20] 我们建立了四步法
[00:19:22] 从用户的需求
[00:19:23] 然后我们的需求
[00:19:25] 然后目标策略来做分析
[00:19:26] 其实跟这比较类似
[00:19:28] 所以当我看到它背后的隐藏的
[00:19:31] 这套人类最佳实践的时候
[00:19:32] 所以我特别的高兴
[00:19:34] 而且他比我们原来做的那个更完善一些
[00:19:36] 比如他不会直接从用户切入
[00:19:39] 会先做分析
[00:19:40] 就如果做业务的时候对吧
[00:19:42] 如果做能力的时候就更确定了我们过去很多年
[00:19:45] 然后做的各种研究是对的
[00:19:46] 我们做操作系统是做研究了啊
[00:19:48] 我们做芯片是做研究了
[00:19:50] 做了非常深入的研究工作
[00:19:51] 然后我们在做端到端和VRM
[00:19:54] 包括我今天做VA都做了非常多的研究工作
[00:19:56] 大家也可以看到非常多的论文
[00:19:58] 在包含机器人领域
[00:20:00] 大家在讲空间智能的时候
[00:20:01] 包括这些各种的行业的大咖
[00:20:03] 也都在引用我们的论文对
[00:20:05] 所以呢这也是你做好了研究工作
[00:20:08] 你再做研发就会更加顺利
[00:20:10] 那因为你做完研发以后还要表达能力
[00:20:13] 这时候能力的展示也非常好
[00:20:15] 比如就像你看到我们的车的端到端和VRM
[00:20:18] 我们是少有的企业
[00:20:19] 能够把人工智能是怎么工作的
[00:20:21] 讲明白端到端是怎么从感知到轨迹的选择
[00:20:25] 然后他的注意力attention系统是怎么工作的
[00:20:28] 然后VOM又是怎么拿语义去来理解etc
[00:20:32] 然后红绿灯和复杂路况的
[00:20:35] 对我觉得这个其实是非常重要的能力的
[00:20:38] 这个展示对
[00:20:39] 然后也包含这个能力
[00:20:40] 最后要去变成真正的业务的结果对
[00:20:43] 就要去参与到业务去作战去
[00:20:45] 因为我们自己做着做着
[00:20:46] 也经常会偏离了最佳时机对吧
[00:20:49] 但是呢我觉得他非常好的一个方式
[00:20:51] 说哎我们如何让自己坚守最佳实践
[00:20:54] 因为只有坚守最佳实践
[00:20:56] 我们才能构建起来最好的能力对
[00:20:59] 然后只有坚守最佳实践
[00:21:00] 我们才能以用户为中心
[00:21:02] 然后构建出来最好的业务
[00:21:04] 你怎么看梁冠峰啊
[00:21:05] 你觉得他是怎么找到你说的
[00:21:06] 这个人类最佳时间的
[00:21:08] 我只跟他聊过一次哈
[00:21:10] 是去年的9月份
[00:21:12] 应该印象特别深
[00:21:13] 应该是CHAGBT的OE发布前的几天
[00:21:15] 我自己个人感觉
[00:21:17] 然后两个特点吧
[00:21:18] 第一个我觉着我觉得第一他是个特别自律的人
[00:21:21] 这明显的跟他沟通的过程中其实能够看到
[00:21:24] 然后第二个是我觉得我个人认为
[00:21:27] 其实他会在全世界范围之内去研究和学习
[00:21:32] 最佳实践和最好的方法论的
[00:21:34] 这样的一个人
[00:21:36] 怎么理解自律
[00:21:38] 我觉得自律的最大特点就是
[00:21:39] 能够坚守这些和你相信的东西
[00:21:43] 能够坚守这些最佳实践
[00:21:44] 能跟人性的一些懒惰呀
[00:21:46] 走捷径啊
[00:21:47] 这些方面其实能够做对抗对
[00:21:50] 所以我这是我的一个判断
[00:21:51] 所以也正是如此
[00:21:52] 反而这个我觉得让我们更加敬佩他对
[00:21:56] 然后包括我们的开源
[00:21:58] 我觉得deep se格的出现
[00:21:59] 对我们然后加速做VRA是巨大的帮助
[00:22:02] 因为LANGU位置就是语言模型这一块
[00:22:05] 对我们而言
[00:22:06] 其实本身过去我们打算要到今年年底
