[00:00:01] 哈喽大家好
[00:03:19] 也一直是我特别喜欢就特别兴奋的东西
[00:03:24] 但是去了之后呢
[00:03:25] 就体感不是特别好
[00:03:27] 因为我们那会儿都在做一些嗯很小的数据集
[00:03:34] 就你很难想象就是一整个数据集可能就2万多篇路透社的文章
[00:03:39] 然后你的各种算法的调整
[00:03:41] 就是看在2万多篇里面分出来的20%的测试集
[00:03:46] 就是4000多篇文章上面一个点两个点的差异对吧
[00:03:50] 然后你就觉得啊好像它的实际意义你也感觉不到对
[00:03:55] 所以05年的时候我去google实习一下就蹦到了
[00:04:00] 就是从40一张网页上面来做算法对吧
[00:04:05] 然后那你知道google那天那时候每天就是几个亿的嗯
[00:04:09] 就是搜索量呃
[00:04:11] 就是你能改变
[00:04:12] 哪怕是1‰的搜索
[00:04:14] 其实都是很大的数字
[00:04:17] 所以就觉得特别的有实际价值
[00:04:20] 特别的就是真的就是有用对
[00:04:23] 然后所以就没有回去读博士
[00:04:27] 就留在google了
[00:04:27] 就辍学了是吧哦对其实辍学是一个意外
[00:04:30] 不是一个深思熟虑的一个选择
[00:04:32] 嗯其实应该说是一个特就是内心的召唤哦
[00:04:37] 就是当你今天做过很实际的对吧
[00:04:41] 产生价值的东西之后
[00:04:42] 然后再回到一个象牙塔里面去做那个牛角尖的那一点点
[00:04:46] 好像嗯不知道价值在哪里的事情
[00:04:49] 你就觉得有点不太愿意了
[00:04:51] 对当时有人反对吗
[00:04:53] 这是你做的第一个叛逆的决定吗
[00:04:55] 那肯定是个很大的决定
[00:04:57] 因为家里当时希望说诶好像你读了博士
[00:05:00] 你把它读完
[00:05:01] 然后再说对
[00:05:02] 但我觉得好像我是真读不下去了吧
[00:05:04] 我觉得其实我的选择很一贯
[00:05:07] 就是我觉得我一定需要创造特别实在的价值对
[00:05:11] 而且呃就不是那种特别就是好像虚幻的对吧
[00:05:15] 就是或者特别遥远的东西
[00:05:18] 我一定是希望能够站在我今天能看得见
[00:05:21] 我们能够做到的一个实在的价值
[00:05:23] 你没有想做科研是吧
[00:05:24] 在那个时候
[00:05:26] 其实读博士本来就是做科研的
[00:05:28] 对我觉得做科研可能也分成两种类型的同学呃
[00:05:31] 一种呢就是有能力今天完全去发明一个全新的架构或者框架
[00:05:37] 就打开一个全新方向的
[00:05:39] 那另外一类呢是其实就是在已经有的方向上去做改进
[00:05:44] 或者去跟具体的问题做结合的呃
[00:05:48] 前一类的人是非常非常少的
[00:05:50] 其实可能每5年十年才会有一个大牛出来对吧
[00:05:54] 然后真正打开一个巨大的方向
[00:05:56] 然后绝大部分人像我一样
[00:05:57] 其实都是在后面一个方向里边做很多的的加法的
[00:06:02] 那呃我们那会儿呢呃那个大的矿脉叫support vector machine s u m
[00:06:08] 其实算是decision tree之后机器学习界的一个大的突破
[00:06:13] 应该是9798年的时候就是被发明出来
[00:06:16] 那哦当时就特别的火热
[00:06:19] 因为它的效果特别好
[00:06:20] 能解决很很多实际的问题
[00:06:22] 但到我读博士的时候
[00:06:23] 0304年基本上这片矿你能看得见的地方也挖差不多了对吧
[00:06:29] 然后呢对我就感觉我也没有找到
[00:06:31] 就是好像特别能够创造实际价值的东西
[00:06:34] 然后回到谷歌那边
[00:06:36] 你觉得哇他真的是能改变很多人的生活
[00:06:39] 所以就就去了
[00:06:41] 你当时是怎么面对周围人的反对的声音啊
[00:06:44] 在那个决策上嗯
[00:06:46] 其实我因为是个I人
[00:06:48] 所以这个决策并没有咨询过很多很多的人
[00:06:52] 然后我父母虽然表示反对
[00:06:54] 但是毕竟我已经长大了哦
[00:06:57] 对然后其他的就还好
[00:06:59] 在google嗯05年开始实习
[00:07:02] 06年就是正式工作了
[00:07:04] 对05年的暑假实习
[00:07:06] 然后实习之后他们给了我一个offer
[00:07:08] 所以06年的年初我就去雇个工作
[00:07:12] 你在google学会了什么呀
[00:07:15] 我我觉得在google就是学了太多的东西呃
[00:07:18] 无论从企业的文化对吧
[00:07:20] 只要不作恶
[00:07:21] 然后嗯努力去创造
[00:07:24] 还是到具体的方法
[00:07:25] 就今天你发现他思考问题
[00:07:29] 解决问题的很多的方法
[00:07:30] 其实都是潜移默化在那个时候被埋下来的
[00:07:34] 然后还有今天公司的的氛围
[00:07:36] 其实你知道google一直是个非常平等
[00:07:39] 开放透明的氛围对
[00:07:41] 所以我后来创造营业
[00:07:43] 然后做公司的时候就也把这样的一个氛围带到自己的公司里边
[00:07:47] 就比如说我没有自己的办公室跟大家坐在一起
[00:07:50] 然后我们开会的时候也很平等
[00:07:52] 还有就是我们的所有的会议室都不是墙
[00:07:56] 是玻璃
[00:07:56] 就是你一眼看过去能看得见里面在发生什么
[00:07:59] 所以平等和透明带来了开放
[00:08:02] 开放就有一个今天相互碰撞和创造的环境对
[00:08:06] 所以我觉得人生的第一家公司对自己的影响其实是蛮大的
[00:08:10] 很感谢他
[00:08:11] 我听说你是不是跟jeff in还有一些直接的接触呃
[00:08:15] 我跟JEFFIN教过CHANGLIST哦
[00:08:17] 就是我改他的代码
[00:08:19] 改完之后
[00:08:19] 他帮我做个code review
[00:08:21] 如果这也算接触的话
[00:08:22] 那我觉得其实就是JEFFIN可能能接触到或者接触过公司
[00:08:28] 可能相当部分的人嗯
[00:08:30] 因为你当时进google之后
[00:08:32] 你发现特别神奇
[00:08:33] 因为所有的骨干代码就是从最开始的google file system到map reduce
[00:08:39] 到big table里边的主要的那些类的文件的文件头
[00:08:45] 第一个作者都是jeff in或者是sanjjo white
[00:08:49] 所以就是那个大神在那儿
[00:08:51] 就是你感觉整个世界都是他创造的
[00:08:53] 然后我们在他创造的世界里边做很多的改进的工作
[00:08:57] 所以跟学术界的感受是一样的
[00:08:59] 就是有人能够好像对吧
[00:09:01] 创造一个世界
[00:09:02] 然后我们在里面去把世界做的更好一些
[00:09:04] 嗯对但是你想做那个创造世界的人吗
[00:09:07] 那个点我觉得我肯定没有那么那么强烈的
[00:09:10] 就是自己好像能够创造一个世界的感受
[00:09:13] 对你在google是一个什么样的工程师
[00:09:16] 是一个非常stand out的
[00:09:18] 还是一个很中规中矩的工程师
[00:09:21] 你当时是一个什么样的人
[00:09:23] 嗯我其实嗯代码写的不太多
[00:09:27] 因为我偏就是抽象性的思考
[00:09:32] 偏架构性的思考
[00:09:33] 愿意跟大家讨论
[00:09:34] 好像问题的定义
[00:09:36] 问题的拆解对吧
[00:09:37] 然后所以呃我们的manager很快就把我promote到一个我们叫tech lead
[00:09:42] 就是这就是带四五个人
[00:09:45] 然后具体成单一个模块的任务嗯对所以后面就跟大家来做这样讲
[00:09:51] 对外去做问题沟通
[00:09:53] 然后对内做系统架构
[00:09:55] 说实话
[00:09:55] google的工程师不用管的对吧
[00:09:58] 就是大家其实每个人都还非常的愿意去做很多很创造性的事情
[00:10:03] 但是怎么把一个方向呃跟我们的客户理清楚
[00:10:07] 以及回来跟我们的团队
[00:10:09] 今天大家达成共识
[00:10:11] 然后当然自己写一部分代码对啊
[00:10:13] 然后这个其实是就还是要有人去做的
[00:10:17] 嗯对你怎么开始做安克的早期的事情的呀
[00:10:22] 在当时是不是还在google
[00:10:24] 我那个时候的女朋友
[00:10:25] 后来的太太
[00:10:26] 他在硅谷我们认识的那因为他是文科生
[00:10:31] 所以有一段时间其实不在工作
[00:10:34] 那嗯我们就是在想一起找一个事情能让他做
[00:10:39] 其实我03年去美国的时候就开始在网上买东西
[00:10:43] 最开始的话就在很多个不同的网站买东西
[00:10:46] 到了嗯0809年你就发现基本上你在亚马逊购物
[00:10:51] 因为它的体验
[00:10:52] 它的丰富度
[00:10:54] 它的价格
[00:10:54] 包括它的物流都最好对
[00:10:57] 然后我们就发现呢
[00:10:58] 其实亚马逊上有很多东西
[00:11:00] 他的选择并不是最好的
[00:11:02] 那么嗯所以当时就是我的女朋友
[00:11:07] 后来太太
[00:11:07] 然后跟我一起
[00:11:08] 我们就想说
[00:11:09] 那么能不能在亚马逊上开始卖一些东西
[00:11:12] 然后其实也帮她作为一个文科生
[00:11:15] 在美国不太好找工作的一个同学
[00:11:17] 能够有一个事情做对
[00:11:19] 然后所以最开始就是嗯再卖一些东西对
[00:11:24] 其实你很快就发现说电子商务本身卖不是那个困难的问题
[00:11:29] 从哪里有最好的产品才是那个难的事情
[00:11:32] 这么说吧
[00:11:33] 其实一年我就从顾过quit呃
[00:11:35] 拉上了当时google中国区销售的负责人叫赵东平
[00:11:39] 东平湖
[00:11:39] 我们两个人
[00:11:40] 然后我做产品
[00:11:41] 他负责全球的销售
[00:11:43] 我们就一起创立了安克这个品牌
[00:11:45] 富兰克最早其实是一个电商公司
[00:11:47] 其实那会儿我们的名字还叫海翼电商嗯
[00:11:49] 就名字就带个电商嗯
[00:11:52] 那我们当时就是从中国最开始是找
[00:11:55] 很快就发现你找不到好的
[00:11:57] 所以你必须要去跟工厂定制定制最好的产品
[00:12:01] 然后卖到美国去
[00:12:02] 然后当然不卖那么贵对吧
[00:12:04] 然后所以嗯最开始的时候
[00:12:07] 因为就是相关的电商人才
[00:12:10] 全国哪儿都没有
[00:12:11] 我们就想说那就把公司建在长沙
[00:12:14] 我们自己培养电商人才
[00:12:15] 所以这么多年下来
[00:12:16] 的确我们在长沙的电商团队是非常稳定的
[00:12:20] 也就是我们自己培养起来的校招生诶
[00:12:23] 那个时候你做一个google的工程师
[00:12:25] 然后回国创业
[00:12:26] 做充电宝这个事情大家能理解吗
[00:12:29] 嗯其实说实话就是后面很多年
[00:12:33] 然后呃跟大家介绍的时候
[00:12:36] 好像我都不会特意的提充电宝对吧
[00:12:38] 包括到今天我们肯定也希望把充电宝这个标签能够从身上撕下来
[00:12:43] 因为呃我们其实想做的还是一个就创造真实的客户价值的事情
[00:12:49] 就是换句话就真的能让人满意和带来价值
[00:12:53] 只是那个点呢
[00:12:54] 我就是没有好像听起来很fancy的东西
[00:12:59] 然后来创造那么大的价值
[00:13:01] 只是那个点呢就是在渠道里边最明确的
[00:13:04] 我们看到的能给客户带来价值的东西
[00:13:06] 其实就是充电类的产品
[00:13:07] 嗯对因为当时智能手机其实你回到11年的时候
[00:13:12] 智能手机快速发展
[00:13:13] 那会儿一天的电都用不到
[00:13:16] 所以充电宝这个东西是所有大家都非常需要的
[00:13:19] 所以我们想那我们就赶紧把这个价值的空白给弥补起来
[00:13:22] 你当时QU辞家里人有说什么吗
[00:13:25] 我我们家因为我爸爸是老师
[00:13:27] 然后我妈其实不太管我的学习
[00:13:30] 所以呢我爸还是表达过反对意见的
[00:13:32] 觉得说哦
[00:13:33] 那你是不是应该先其实有之前quit p sd的经历的时候
[00:13:38] 我家里人其实没有说特别多的东西哦
[00:13:41] 反过来其实我妈
[00:13:42] 因为我妈其实是她是国企的销售的负责人
[00:13:45] 然后他当时问我说
[00:13:47] 那你创业需要钱吗
[00:13:48] 我说我还是需要一些启动资金的
[00:13:51] 呃
[00:13:51] 我说外面有投资人愿意投资
[00:13:54] 我妈当时就是特别乐
[00:13:57] 我妈说你这事靠谱吗
[00:13:59] 我说我觉得还挺靠谱的
[00:14:00] 我说这个事儿肯定能做成
[00:14:02] 我妈就说那靠谱的事儿
[00:14:04] 咱们用自己的钱做
[00:14:06] 所以所以他给了我300万
[00:14:08] 然后算是我们的天使投资人
[00:14:10] 对哦
[00:14:10] 你妈是你天使投资人对
[00:14:12] 只是只是最后就是他把钱要回去了
[00:14:14] 没有没有拿股份
[00:14:15] 所以大家并没有看到这个哦
[00:14:18] 诶他为啥把钱要回去了
[00:14:20] 其实从他的角度
[00:14:21] 他就是希望支持我对吧
[00:14:22] 就是把这个事情做起来
[00:14:24] 其实也不算是要回去吧
[00:14:25] 就是其实就是他希望只是把我这事儿做起来
[00:14:28] 然后他说哦那长期来看怎么样这个事情做得更好
[00:14:32] 嗯就是对你想创业的种子是在哪一个时刻种下的呀
[00:14:37] 是在你学生时代还是在google还是在哪儿
[00:14:41] 其实我一直对就是真实的给客户带来价值
[00:14:44] 这件事情是就这一直是我的一个特别就是的一个兴奋点
[00:14:49] 嗯就是看得见让别人满意
[00:14:51] 嗯对啊
[00:14:52] 所以其实就一直就有这样的一个创业的的动力
[00:14:57] 其实我们最早从电子商务开始起步
[00:14:59] 然后所以因为中国也没有今天做海外的那么电子商务的人才
[00:15:04] 所以我们就回了长沙
[00:15:06] 我东平也把家从北京搬到长沙
[00:15:09] 在长沙就是孵化就自己带出来的一个电子商务的团队
[00:15:15] 然后很快嗯2012年初我就搬到深圳来
[00:15:19] 因为我们发现其实卖不是困难的事情
[00:15:23] 好的产品是那个最难的事情
[00:15:26] 而你真的要有好的产品
[00:15:29] 那你就来带来去创造产品的地方
[00:15:31] 就是深圳东平是一个什么样的人
[00:15:34] 为什么你创业之初选择拉上他呀
[00:15:37] 嗯东平很好玩
[00:15:38] 就是我的性格啊
[00:15:40] 就是我是个爱人
[00:15:41] INTP嗯
[00:15:44] 就是特别逻辑框架思考对吧
[00:15:46] 特别理性和特别皮
[00:15:48] 对东民哥我是截然相反
[00:15:51] 就他是ESFJ哦
[00:15:53] 完全相反对我们俩就像地球的两极
[00:15:56] 南极和北极就是其实就风格差异是巨大的
[00:16:00] 而且你发现就我们在一起15年
[00:16:04] 你觉得我们的性格是更接近了
[00:16:06] 还是更那个往两边走了
[00:16:09] 你你这么问我
[00:16:09] 那估计是往两边走了
[00:16:11] 对我们这的确发现其实15年下来之后
[00:16:15] 因为有一个人可以安全的看着你的背面对吧
[00:16:18] 就有个人可以把你不太好的那一面看住的时候
[00:16:21] 其实你是更大胆的往你擅长的那一边走哦
[00:16:25] 所以你们是怎么认识的呢
[00:16:27] 当时我和姑姑来创业呃
[00:16:30] 我们姑姑的同事觉得应该做海外业务的同学都要买google的广告
[00:16:36] 然后就把我介绍给了就是当时google的在中国的广告销售团队哦
[00:16:41] 然后他们觉得诶这个同学好像比较有意思
[00:16:43] 他不只是想卖东西
[00:16:45] 他想做好的产品
[00:16:46] 然后就把我介绍给了他们
[00:16:47] 当时团队的leader东平对
[00:16:49] 然后那东平其实他是很擅长
[00:16:52] 你知道销售和卖东西的
[00:16:54] 然后他觉得诶那能找到一个人一起来创业
[00:16:58] 然后工程师负责做
[00:16:59] 然后他负责去对吧
[00:17:01] 销售其实是个很好的组合
[00:17:02] 所以就一起创业了
[00:17:05] 而是你回国以后发生的事情
[00:17:07] 我们是回国以后发生的事情
[00:17:09] 有人跟我提过
[00:17:10] 东平
[00:17:10] 就是说他应该是在你公司非常重要
[00:17:12] 因为他负责人海外所有的渠道的搭建
[00:17:15] 就是我们公司开玩笑
[00:17:16] 就是呃对啊
[00:17:18] 就我管产品相关的事情
[00:17:19] 然后东平馆所有我不管的事情
[00:17:21] 其实是个非常好的创业的搭档
[00:17:23] 我们这么多年其实对啊
[00:17:25] 而且我们其实一直是并排坐在一起的对吧
[00:17:28] 在公司里面
[00:17:28] 在公司并排做错了很多年呃
[00:17:30] 并排是指平台
[00:17:32] 就是指就是因为我们都没有自己的办公室对吧
[00:17:35] 我们都是坐在外面的
[00:17:37] 这个就是我们说的工位上面
[00:17:39] 然后他的工位和我的工位是嗯就是紧紧挨着的哦
[00:17:43] 对你创造的第一个产品是不是安克的充电器
[00:17:47] 其实我们自己做的第一个产品是一个充电宝嗯
[00:17:51] 对然后他是一个就是当年其实是非常超前的
[00:17:57] 它是一个呃贴在手机背后很薄
[00:18:01] 同时带一个内置的线的一个充电宝呃
[00:18:06] 基本上到10年以后你才看到整个市场朝那个方向走
[00:18:11] 你能讲讲你这个产品的研发过程
[00:18:13] 这应该是你们第一个产品
[00:18:15] 也是第一个爆品呃
[00:18:17] 这是第一个产品
[00:18:18] 应该就是我们自己研发的第一个产品
[00:18:20] 但客观的说他并没有特别的爆
[00:18:22] 因为那个点呢这个产品的形态还是蛮超前的
[00:18:25] 就当年所有的充电宝都是不带线的
[00:18:27] 那么我们虽然做出来了
[00:18:30] 但我们当年的营销能力就是把一个产品真正的好像能够带到用户面前
[00:18:36] 让用户真的了解他和喜欢他的能力是比较弱的
[00:18:39] 所以就是酒好也怕巷子深嘛
[00:18:41] 那个产品之后没有特别的爆
[00:18:43] 后来我们当然研发团队建起来了
[00:18:46] 我们就持续开始一款一款一款的做产品了
[00:18:49] 对第一个你眼中的爆品是哪一款嗯
[00:18:55] 就第一个特别爆的其实是一个我们叫口红的充电宝
[00:18:58] 就他用一颗圆柱电芯做出来的尺寸跟一个口红差不多大
[00:19:05] 那个产品因为放在包里特别的方便
[00:19:07] 然后给手机大概能补到一半的电
[00:19:11] 所以就是它生命周期里应该卖了几百万台
[00:19:14] 那应该是2013年
[00:19:16] 2013年创业两年
[00:19:17] 创业两年
[00:19:18] 那两年你们公司的营收和利润是不是都还不错
[00:19:22] 其实从零开始的时候是增长的速度肯定是非常快的
[00:19:26] 对嗯我其实不太有
[00:19:29] 就我对数字没有那么嗯记得清楚嗯
[00:19:32] 我印象里面12年肯定应该是过亿的营收的哦
[00:19:36] 五和东平我们选择的这个道路其实确定性是蛮强的
[00:19:40] 就是左边你能看得见需求对吧
[00:19:43] 右边你能够确定性的找到
[00:19:45] 或者包括定制出好的供给
[00:19:47] 中间的这个这个桥你自己搭起来是没有任何困难的对啊
[00:19:51] 所以就是应该是确定性是蛮高的
[00:19:54] 所以你们是一个很容易发现商机的团队是吗
[00:19:57] 觉得应该说我们是个很务实的团队
[00:19:59] 我每一次都是站在自己的能力上往前够
[00:20:02] 那个诶你应该能够得着的那一步
[00:20:06] 其实我们在公司老说就是我们是一个踩稳了一个台阶
[00:20:10] 就一定会去努力的够下一个台阶的公司
[00:20:14] 所以回到你最开始的问题对吧
[00:20:16] 好像我们从充电宝做到今天的芯片机器人
[00:20:20] 这其实就是一个你稳稳当当的每一集踩稳之后
[00:20:23] 一定会去勾下一集
[00:20:24] 他必然会达到的一个状态
[00:20:28] 嗯在你创业最初你考虑过融资没有
[00:20:32] 嗯其实我们的现金流一开始就是正的
[00:20:35] 因为其实每一轮的循环其实都能产出不错的利润
[00:20:39] 所以我们其实一直没有真实的融资的需求
[00:20:41] 嗯我们第一次融资是在2017年那会儿融资呃
[00:20:46] 跟今天deep sick融资一样
[00:20:48] 就不一定是需要钱
[00:20:50] 因为我们最开始从电子商务开始
[00:20:52] 每一轮的循环就是从采购到销售的过程
[00:20:55] 其实都有还不错的毛利
[00:20:57] 那所以公司的整个现金流一直是正的
[00:21:00] 我们其实不需要融资
[00:21:02] 到2017年
[00:21:03] 我们第一次融资
[00:21:05] 其实也不是为了要需要资金
[00:21:07] 而是我们需要用
[00:21:09] 我们当时给员工发了很多的股份
[00:21:11] 大家觉得这东西到底值多少钱
[00:21:13] 不知道
[00:21:14] 我们就说哎找当时头部的VC来给我们投一些钱
[00:21:18] 相当于定了一个价
[00:21:20] 这样的话大家手里的股份就好像有一个明确的价值吧
[00:21:23] 这个对你们的好处是什么呀
[00:21:25] 定价的好处是让手里拿到股份的同学们就实打实的相信你
[00:21:30] 好像这个股份值这么多钱哦
[00:21:32] 因为你跟他说这股份值这么多钱
[00:21:34] 他总觉得嗯你说靠不靠谱对吧
[00:21:36] 但今天当一个VC头部的VC
[00:21:39] 当时是IDG真金白银的掏这么多钱买这个股份的时候
[00:21:43] 那你再跟他说
[00:21:44] 你看我给你发的股份值这么多钱
[00:21:46] 他就比较容易相信了
[00:21:48] 这跟deep sick今天融资的策略其实是一样的
[00:21:51] 额我觉得不一定
[00:21:52] 因为DPC到底是不是需要钱
[00:21:54] 其实我不太知道
[00:21:55] 因为大模型公司逻辑上其实是需要融很多钱的
[00:21:57] 所以我刚刚觉得我那个说的不太对
[00:21:59] 他不止就我觉得这个大模型公司它应该是需要很多钱做训练的
[00:22:04] 因为如果说去到去年的这个时候呢
[00:22:07] 那定价其实可能是有需要的
[00:22:09] 因为市场上没有一个完整的定价对吧
[00:22:12] 但是年初其实像质朴他们都上市之后
[00:22:15] 那我觉得deep c的同学也可以参照质朴的价格来给自己手里的股份定价
[00:22:21] 所以我觉得需求没有那么强烈
[00:22:23] 嗯但是你们当时是就是完全对资金没有那么高的需求的情况下
[00:22:27] 出来融资定价的
[00:22:29] 对我们当时第一没有可比的参照系
[00:22:31] 就没有说好像跟我们同类型的这家这家公司融资这么多
[00:22:35] 其实我们当时在电商里边认真做产品
[00:22:38] 这种公司就是没有的
[00:22:40] 因为当时做电商的公司
[00:22:42] 大家就不停的在想买和卖对吧
[00:22:44] 然后而产品公司的话
[00:22:46] 其实当时也很少对
[00:22:47] 所以我们真的是需要好像做一个定价出来
[00:22:51] 然后后来你们也启动上市
[00:22:54] 这在你融资的时候就已经决定好了
[00:22:56] 其实我们上市也很明确
[00:22:57] 就是希望员工能够把他的股票能够变现
[00:23:01] 嗯对啊
[00:23:02] 然后其实选择上市第最后选了中国
[00:23:04] 也是觉得说在中国可能员工变现他们股票能拿到的收益更多
[00:23:10] 如果把你们公司15年的发展历史分成某一些节点的话
[00:23:14] 你会怎么划分呃
[00:23:16] 我觉得前10年是一个阶段
[00:23:18] 前10年我们从一个品类做到很多个品类
[00:23:22] 从一个渠道做到很多渠道
[00:23:24] 从一个国家做到很多个国家
[00:23:25] 它其实是一个非常自然的一个延伸的过程
[00:23:29] 嗯首先我们会把所有的用户群分成四个人群呃
[00:23:33] 我们叫一系人群
[00:23:34] 三系人群
[00:23:35] 五系人群和七系人群
[00:23:36] 一系呢就是他在这个品类里边
[00:23:40] 只愿意花最少的钱买一个基本能用的东西
[00:23:43] 就最便宜的东西
[00:23:45] 三系的话呢他要买一个最好的性价比
[00:23:47] 五系呢他希望嗯不错的稳定的性能对吧
[00:23:52] 然后很好的质量
[00:23:54] 然后愿意付一定的溢价
[00:23:56] 最后的话呢七系就是要最贵最好的东西
[00:24:00] 那我举个例子啊
[00:24:02] 比如说我们说奶茶对吧
[00:24:05] 最便宜的奶茶是六块钱一杯的蜜雪冰城
[00:24:09] 这是一系对吧
[00:24:10] 然后那性价比最好的可能是十块12块的一点点
[00:24:15] 然后再到我们说的很稳的是
[00:24:18] 比如说十五六块钱的
[00:24:20] 像这个沪上阿姨对吧
[00:24:22] 最后到性能最好的喜茶
[00:24:24] 可能20来块钱嗯
[00:24:25] 嗯再换一个品类
[00:24:27] 举个例子
[00:24:28] 比如我们说汽车最便宜的四轮车是4万块钱的QQ嗯对吧
[00:24:35] 所以呃一系的车是4万块钱
[00:24:38] OK然后最贵的有量的车基本上是奔驰
[00:24:42] 宝马奥迪
[00:24:43] 均价大概在40万左右
[00:24:45] 所以你发现一系是4万块
[00:24:47] 七系是40万对吧
[00:24:49] 那中间的话回到油车时代的时候
[00:24:52] 你发现嗯比亚迪大概在10万左右
[00:24:56] 呃我们的大众丰田嗯基本上在56万
[00:25:03] 很多时候他们都用的是同一款发动机
[00:25:06] 就同一款合资厂的发动机
[00:25:08] 装在比亚迪里卖10万
[00:25:10] 装在大众里卖67万
[00:25:12] 请问是不是都有人买
[00:25:15] 嗯对吧
[00:25:16] 那你想买比亚迪的人会怎么看买大众的人嗯对吧
[00:25:21] 反过来讲买大众的人怎么看买比亚迪的人嗯
[00:25:24] 所以你会发现很好玩
[00:25:26] 就是其实嗯跨品类看抽象的
[00:25:29] 看的时候人群就是有四
[00:25:31] 根据他的消费习惯的不同
[00:25:32] 可以分成这四群人
[00:25:34] 对1357
[00:25:35] 那所以我们的前10年的这家公司
[00:25:40] 你会觉得我们做的是一个几系的品牌或者产品
[00:25:44] 我觉得你们产品很多还偏高端中高端
[00:25:47] 那是最近几年才给你这样的一个印象
[00:25:50] 刚开始呢其实最开始那个10年嗯
[00:25:53] 有很多人会说哦
[00:25:54] 安克是个海外的小米对吧
[00:25:56] 如果是这么说的话
[00:25:57] 那我们就是一个因为小米大家肯定有理解
[00:25:59] 它是以性价比著称的
[00:26:01] 所以它其实是一个三系的品牌
[00:26:03] 至少在雷总希望高端化以前是这样的对吧
[00:26:08] 那嗯所以很多人会说我们是海外的小米的时候
[00:26:11] 就说安克其实是个三系的品牌
[00:26:13] 但是真正在海外买安克东西的同学会知道
[00:26:16] 安克的东西其实并不便宜对吧
[00:26:19] 它其实往往比市面上的均价可能贵个嗯20%甚至30的价格
[00:26:25] 这个背后是一个很好的品质在支撑的
[00:26:28] 就是你看安克的产品在网上的星级
[00:26:32] 一星到五星的尺度的话
[00:26:34] 我们通常都是4.5星甚至更高
[00:26:36] 所以其实我们前10年就是一个五系公司嗯
